,0
0,-3.2372041034663565e-13
1,5.5985413450781124e-15
2,-9.554008530200915e-17
3,3.046024500623265e-18
4,1.2790763400315065e-18
5,1.3325300784825302e-18
6,1.2929371182678557e-18
7,1.20992365487962e-18
8,1.1063936105603439e-18
9,1.001198935194751e-18
10,8.988076686486655e-19
11,8.022532866434407e-19
12,7.1282955724653495e-19
13,6.311000599492884e-19
14,5.571151549020067e-19
15,4.906349140433621e-19
16,4.3124346772120234e-19
17,3.7843099478769057e-19
18,3.3164542459625213e-19
19,2.903268428673912e-19
20,2.5392935767514433e-19
21,2.219346094772456e-19
22,1.9385948518354694e-19
23,1.6925989492179072e-19
24,1.4773189544763465e-19
25,1.2891107289163741e-19
26,1.1247080688909072e-19
27,9.811994137697894e-20
28,8.55998416341779e-20
29,7.468243367286481e-20
30,6.51636387515723e-20
31,5.687601442463434e-20
32,4.962236824384042e-20
33,4.343795014388315e-20
34,3.7490531110269015e-20
35,3.463456353138661e-20
36,2.2496020190272237e-20
37,5.202478377706124e-20
38,-2.987935562259164e-20
39,6.10519547087414e-20
40,4.2022811354409044e-21
41,1.838800765313541e-20
42,1.1741132142125576e-20
43,1.1687748889825089e-20
44,9.611435389960308e-21
45,9.726682961411918e-21
46,3.7768993943727906e-21
47,2.3415198199398317e-20
48,-2.741558883150177e-20
49,3.2713532256072904e-20
50,-2.787045577858309e-21
51,2.048338049505584e-21
52,2.1315848111520932e-20
53,-3.4223861152675193e-20
54,3.477340984759815e-20
55,-1.1118461595549798e-20
56,2.2147511262300002e-20
57,-3.427577764003757e-20
58,2.836303618833773e-20
59,9.661114401140479e-21
60,-3.251622913434371e-20
61,2.8852079390516274e-20
62,4.880755821417086e-21
63,-2.851010251201686e-20
64,4.011934568727735e-20
65,-4.071497156508756e-20
66,4.1837764268969315e-20
67,-3.5645027435543216e-20
68,2.9162651476220475e-20
69,-1.4445549797029653e-20
70,6.2888799535742605e-21
71,-1.4757618971184105e-20
72,2.7868570704082305e-20
73,-1.8563321649856863e-20
74,5.9529747210361806e-21
75,-1.0270781849066574e-21
76,1.0017831381997003e-21
77,7.436425580991641e-22
78,-7.182236024580748e-22
79,5.937570075124691e-21
80,-1.0762933094288264e-20
81,8.913134604434287e-21
82,9.887210471968855e-23
83,-4.56048093852754e-21
84,5.0754299480215894e-21
85,-2.4619922366145856e-21
86,8.951421574450343e-22
87,8.847862076415383e-23
88,2.5268283996367007e-22
89,2.309523374209964e-22
90,-8.710016450268024e-23
91,1.8180145712247574e-22
92,1.0120031913110555e-22
93,3.562361248890351e-23
94,5.0057205334926066e-23
95,4.080914240772294e-23
96,2.7023135528039255e-23
97,2.5088923776199646e-23
98,2.2321280334227567e-23
99,2.0541944416480525e-23
100,2.0160555467613682e-23
101,1.8952291677619723e-23
102,1.868595267373578e-23
103,1.8119630683893676e-23
104,1.7771641855860314e-23
105,1.7408195369697075e-23
106,1.7089491039362258e-23
107,1.6791466437615952e-23
108,1.6516793972159037e-23
109,1.6261879330264813e-23
110,1.6025611586101658e-23
111,1.5806394907472992e-23
112,1.5602966657000777e-23
113,1.5414115354254576e-23
114,1.5238745948199722e-23
115,1.5075847703399506e-23
116,1.4924492853740333e-23
117,1.4783827328943648e-23
118,1.4653064830938733e-23
119,1.4531480763696875e-23
120,1.4418406972571336e-23
121,1.4313226926597668e-23
122,1.421537136745481e-23
123,1.4124314372828928e-23
124,1.403956977649402e-23
125,1.396068792167541e-23
126,1.3887252702189392e-23
127,1.3818878875834336e-23
128,1.375520960756358e-23
129,1.369591423354616e-23
130,1.3640686216194266e-23
131,1.3589241270165302e-23
132,1.3541315654070524e-23
133,1.3496664601707628e-23
134,1.3455060881190993e-23
135,1.341629347509567e-23
136,1.3380166368739905e-23
137,1.3346497432495274e-23
138,1.3315117395842156e-23
139,1.3285868903010497e-23
140,1.3258605639979323e-23
141,1.323319153215315e-23
142,1.3209500003169394e-23
143,1.318741328905949e-23
144,1.3166821806436772e-23
145,1.3147623567800329e-23
146,1.3129723640098507e-23
147,1.311303364477146e-23
148,1.3097471293727186e-23
149,1.3082959960161191e-23
150,1.3069428281547169e-23
151,1.3056809789173467e-23
152,1.3045042567609604e-23
153,1.303406893654522e-23
154,1.3023835156683533e-23
155,1.3014291155549849e-23
156,1.3005390275017042e-23
157,1.2997089033763065e-23
158,1.2989346909459842e-23
159,1.2982126133477562e-23
160,1.2975391506648728e-23
161,1.2969110201899153e-23
162,1.2963251688477473e-23
163,1.2957787216057378e-23
164,1.2952691177843961e-23
165,1.294793474540323e-23
166,1.294351157674982e-23
167,1.293933063926244e-23
168,1.2935659876052404e-23
169,1.293128666145457e-23
170,1.2931142254232436e-23
171,1.2914697781981838e-23
172,1.2966963235924051e-23
173,1.273549297400774e-23
174,1.3681111019708925e-23
175,9.74859847146802e-24
176,2.6036925282735703e-23
177,-4.14898196402656e-23
178,2.3839974196030706e-22
