,0
0,-3.074009965018072e-13
1,5.316745117235872e-15
2,-9.071792184609869e-17
3,2.9160947386624966e-18
4,1.2358245623225901e-18
5,1.2873998250368178e-18
6,1.2484972217325672e-18
7,1.166947162536525e-18
8,1.0653118666340303e-18
9,9.621373609495246e-19
10,8.618169427659906e-19
11,7.673268154927619e-19
12,6.799289511683208e-19
13,6.001655305633492e-19
14,5.280735206801034e-19
15,4.63404675961953e-19
16,4.057384751980025e-19
17,3.545630317282626e-19
18,3.093260760137245e-19
19,2.694688313010198e-19
20,2.3444749294555984e-19
21,2.0374644964858573e-19
22,1.7688578107835509e-19
23,1.5342487153175358e-19
24,1.329634109596256e-19
25,1.151406840029806e-19
26,9.963377193126344e-20
27,8.61551456584784e-20
28,7.444979826185027e-20
29,6.42927935270626e-20
30,5.548460652043521e-20
31,4.785578066359209e-20
32,4.123358108979851e-20
33,3.556711775260663e-20
34,3.0396062471211356e-20
35,2.704463370804951e-20
36,1.9503906560961017e-20
37,3.229168854011531e-20
38,-8.66447417050347e-21
39,3.4890867566255076e-20
40,5.831781836708767e-21
41,1.2156557497359096e-20
42,8.257191192898112e-21
43,7.701622627261136e-21
44,6.319189133523321e-21
45,5.6922482422236255e-21
46,3.777585924086141e-21
47,7.628791890644458e-21
48,-4.191864309841025e-21
49,9.20862528576873e-21
50,5.3855094464985675e-22
51,1.9693454951277327e-21
52,3.56470042576508e-21
53,-2.9622143703115623e-21
54,4.989753235410143e-21
55,-5.027240589923496e-22
56,2.0043910112214938e-21
57,-1.4421991900998412e-21
58,2.094353145968658e-21
59,5.130232974648818e-22
60,-6.671899789874114e-22
61,1.1171202539883866e-21
62,9.283287246183068e-24
63,-5.377448267566888e-23
64,3.330018506317794e-22
65,6.849122562732628e-23
66,9.509066687866994e-23
67,-8.995729392029992e-24
68,4.0184785593972064e-23
69,1.0988074031279413e-22
70,-4.5444722864480385e-23
71,1.3487424536266845e-23
72,5.0688733059197937e-23
73,-2.1182609999317328e-23
74,7.061089275807608e-24
75,1.7282283887265034e-23
76,-9.060272248892015e-24
77,1.0055182256424777e-23
78,-2.9371472109055206e-24
79,3.7735786052688984e-24
80,-5.506648382858834e-25
81,1.3338287108798209e-24
82,-1.8791132391847394e-26
83,4.281995257072559e-25
84,7.39473381101927e-26
85,8.872949460058029e-26
86,4.5658310194997234e-26
87,1.9648795632073933e-26
88,1.0186249365425914e-26
89,4.069679880914189e-27
90,1.6102419016399606e-27
91,5.140703120626679e-28
92,1.4529733983821155e-28
93,2.9820348473255154e-29
94,4.915904345089181e-30
95,4.629367232556128e-31
96,7.817693495058343e-32
97,-2.616347890032204e-33
98,3.023970959421368e-33
99,-7.542193308609466e-34
100,2.4477447046607762e-34
101,-7.29579174514377e-35
102,2.1922690912431068e-35
103,-6.541869071533623e-36
104,1.948424788989927e-36
105,-5.796095632352856e-37
106,1.7232667632967585e-37
107,-5.122341627826669e-38
108,1.522455360458345e-38
109,-4.5248568898167207e-39
110,1.3448011110625667e-39
111,-3.996751466819713e-40
112,1.1878269227387512e-40
113,-3.53017831072062e-41
114,1.0491508129948088e-41
115,-3.118008551154883e-42
116,9.266484987757284e-43
117,-2.7539198727494003e-43
118,8.184390274839737e-44
119,-2.432317425620875e-44
120,7.228584123777722e-45
121,-2.1482528132724157e-45
122,6.384352024171705e-46
123,-1.8973507792213516e-46
124,5.638685829791803e-47
125,-1.6757440548592321e-47
126,4.980088506105333e-48
127,-1.480014875387711e-48
128,4.398400534728351e-49
129,-1.3071433380116956e-49
130,3.8846456650879305e-50
131,-1.1544613374848915e-50
132,3.430893225980778e-51
133,-1.0196118202546016e-51
134,3.0301377758722167e-52
135,-9.00512560411417e-53
136,2.676190813760567e-53
137,-7.953243560845052e-54
138,2.3635859957138058e-54
139,-7.024226021788718e-55
140,2.0874951240738092e-55
141,-6.2037233834704755e-56
142,1.8436536357550424e-56
143,-5.47906180228745e-57
144,1.6282947972617138e-57
145,-4.839046976439104e-58
146,1.4380918175439379e-58
147,-4.273791956287553e-59
148,1.270106399570618e-59
149,-3.774564308353177e-60
150,1.1217434366581145e-60
151,-3.333651755992629e-61
152,9.907108243481324e-62
153,-2.9442425855161345e-62
154,8.74984268278876e-63
155,-2.600320618552935e-63
156,7.727758695998293e-64
157,-2.2965726805409947e-64
158,6.825065624635174e-65
159,-2.028305989988833e-65
160,6.02781763269769e-66
161,-1.7913759334732367e-66
162,5.323697304462626e-67
163,-1.5821220260193705e-67
164,4.7018265290114265e-68
165,-1.3973114453859548e-68
166,4.1525974973899443e-69
167,-1.2340889167049393e-69
168,3.667524879516547e-70
169,-1.0899327033854143e-70
170,3.239114441550375e-71
171,-9.626156236986773e-72
172,2.8607473821314473e-72
173,-8.501702607955374e-73
174,2.5265599576177997e-73
175,-7.50785064081755e-74
176,2.2283101715148322e-74
177,-6.501621355612279e-75
178,1.4323842778907582e-75
