,0
0,0.0
1,2.1849927365824055e-17
2,1.9960540461711583e-17
3,2.0121746793837994e-17
4,2.0096054542516925e-17
5,2.0042172141194843e-17
6,1.976307078712678e-17
7,1.8446027695489162e-17
8,1.6346094756995306e-17
9,1.417693489314484e-17
10,1.2125094069343364e-17
11,1.0266406165508335e-17
12,8.626128989161666e-18
13,7.204238025165682e-18
14,5.9875845834266825e-18
15,4.956793058851312e-18
16,4.090200980019504e-18
17,3.3661358175027337e-18
18,2.764170112510048e-18
19,2.2657519093885455e-18
20,1.85445198356256e-18
21,1.515982366415559e-18
22,1.2380848203890127e-18
23,1.0103519551725692e-18
24,8.240202863515876e-19
25,6.717590818484113e-19
26,5.474688063579941e-19
27,4.460964958630177e-19
28,3.634711825285197e-19
29,2.9616033531718778e-19
30,2.41345582045354e-19
31,1.9671958491176805e-19
32,1.6038885029174031e-19
33,1.3083170151802188e-19
34,1.0671110885276826e-19
35,8.730756843529857e-20
36,7.060326216299843e-20
37,6.049417296764762e-20
38,3.8715040956697297e-20
39,5.0366183422025016e-20
40,2.819380063772606e-20
41,2.67725644053438e-20
42,2.0981740006043977e-20
43,1.7539042847937134e-20
44,1.4348512351106957e-20
45,1.1906071100201014e-20
46,9.605345158722428e-21
47,8.773851292224677e-21
48,3.976493489284669e-21
49,9.203300701966404e-21
50,3.400326590102415e-21
51,3.860260593427637e-21
52,3.545834943794468e-21
53,5.02769785506901e-22
54,5.045801993079406e-21
55,7.546498198068141e-22
56,2.0298121607611208e-21
57,-3.3014106431108897e-22
58,3.0619123123167256e-21
59,4.561398424828951e-22
60,-3.6743067609161602e-22
61,2.203048553443496e-21
62,8.929953162365464e-23
63,-2.418513834748495e-22
64,1.548305390159116e-21
65,-7.813945051601426e-22
66,1.40379716221273e-21
67,-6.706080395876085e-22
68,9.617330879189745e-22
69,-2.7179432982393768e-22
70,2.928010198915539e-22
71,6.550507682804666e-23
72,5.593029703114836e-22
73,-3.053098348101596e-22
74,2.2967794759208644e-22
75,6.996436433056877e-23
76,9.567913051746673e-23
77,7.22114125641032e-23
78,5.586567291106851e-23
79,7.072267050735437e-23
80,-4.522108469659127e-23
81,1.5380385846534872e-22
82,-2.777078862463769e-24
83,-4.432538359732579e-24
84,6.858067865868206e-23
85,-9.37116676696256e-24
86,2.702407241891115e-23
87,1.4243087953253806e-23
88,1.3018236546309626e-23
89,9.611602329306949e-24
90,6.562609712388026e-24
91,7.696512817632398e-24
92,5.3416848134054396e-24
93,4.023663320663465e-24
94,3.5535355210915836e-24
95,2.894162492783263e-24
96,2.3952999871967755e-24
97,2.1114076799831025e-24
98,1.8851948733373294e-24
99,1.7074764242365674e-24
100,1.5598554558143449e-24
101,1.4273081335102771e-24
102,1.3123622533665345e-24
103,1.207286605660016e-24
104,1.1125371629009924e-24
105,1.0259797110555507e-24
106,9.46940602393517e-25
107,8.7458074257542e-25
108,8.08266074886387e-25
109,7.47420678587973e-25
110,6.915395827340081e-25
111,6.4017000817900625e-25
112,5.929066888587266e-25
113,5.493855041910461e-25
114,5.092788889792395e-25
115,4.72291641019035e-25
116,4.3815732431113485e-25
117,4.0663509901651984e-25
118,3.775069440822524e-25
119,3.505752159276309e-25
120,3.2566049422265337e-25
121,3.025996871267228e-25
122,2.8124435112823706e-25
123,2.614592088284449e-25
124,2.4312083199267086e-25
125,2.2611647426532575e-25
126,2.1034303147593634e-25
127,1.9570611677174002e-25
128,1.821192354157265e-25
129,1.6950304664806973e-25
130,1.5778470487296205e-25
131,1.4689726716790921e-25
132,1.3677916282721783e-25
133,1.273737166148292e-25
134,1.1862871895112738e-25
135,1.1049603848505487e-25
136,1.0293127297854574e-25
137,9.58934331399379e-26
138,8.934465643287718e-26
139,8.324994789782014e-26
140,7.757694498084902e-26
141,7.22957031448937e-26
142,6.737850191068983e-26
143,6.279966709934418e-26
144,5.853540924906146e-26
145,5.456367609731086e-26
146,5.0864017485418945e-26
147,4.741746196275604e-26
148,4.420640372129296e-26
149,4.1214498707624843e-26
150,3.842656978039742e-26
151,3.5828519052724375e-26
152,3.340724763624643e-26
153,3.115058171330203e-26
154,2.904720456378982e-26
155,2.708659364657042e-26
156,2.525896299915653e-26
157,2.3555209772505823e-26
158,2.196686494762256e-26
159,2.0486047870734053e-26
160,1.9105424188159535e-26
161,1.781816687217022e-26
162,1.6617920278787283e-26
163,1.5498766754022125e-26
164,1.44551958364409e-26
165,1.3482075515405003e-26
166,1.2574626051601022e-26
167,1.1728393995699141e-26
168,1.0939234871176968e-26
169,1.0203270528775078e-26
170,9.516952608466613e-27
171,8.876722773894731e-27
172,8.280238934669399e-27
173,7.721552501062905e-27
174,7.20968091111104e-27
175,6.696722624000149e-27
176,6.3557509635886665e-27
177,5.506216073104144e-27
178,6.769056537870696e-27
