,0
0,0.0
1,2.074842744253993e-17
2,1.8954140685000725e-17
3,1.9107210502687318e-17
4,1.9082614167731235e-17
5,1.9030553791859447e-17
6,1.8760905068579634e-17
7,1.748913042650382e-17
8,1.5463787113138974e-17
9,1.3375170800165316e-17
10,1.1403382131695704e-17
11,9.621189141233606e-18
12,8.05232219708241e-18
13,6.696058526479402e-18
14,5.539041589368533e-18
15,4.561983786003855e-18
16,3.743487568168942e-18
17,3.0622457245858716e-18
18,2.4982465059743255e-18
19,2.0333712640707826e-18
20,1.6516204440918393e-18
21,1.3391187550202046e-18
22,1.0839956874539068e-18
23,8.76202368995011e-19
24,7.073028646891276e-19
25,5.70262931327279e-19
26,4.592494472729244e-19
27,3.694474271455008e-19
28,2.968974866796653e-19
29,2.3835439944903416e-19
30,1.9116534251792114e-19
31,1.5316783441407324e-19
32,1.225989613150789e-19
33,9.803852347471767e-20
34,7.828851324757662e-20
35,6.255677487989759e-20
36,4.9513104095017206e-20
37,4.074858799772983e-20
38,2.723032042384795e-20
39,3.060894157695473e-20
40,1.7937542683242932e-20
41,1.5965199715568146e-20
42,1.2136808347937045e-20
43,9.715661195377288e-21
44,7.613266448622787e-21
45,6.00744509252067e-21
46,4.661014531539507e-21
47,3.829369523804933e-21
48,2.2663657007354755e-21
49,3.065548484804827e-21
50,1.432052788868415e-21
51,1.3431780700854767e-21
52,1.0408779996419513e-21
53,5.319789115725639e-22
54,9.25196825531042e-22
55,3.094450044106543e-22
56,3.671017928439857e-22
57,1.5352163138855916e-22
58,2.962468142837153e-22
59,1.0383413555508994e-22
60,6.010099612719105e-23
61,1.1284382728560864e-22
62,3.1001828580335e-23
63,3.037197345560081e-23
64,3.374848724996321e-23
65,1.441132301490451e-23
66,1.0735366732097591e-23
67,6.020569527647556e-24
68,6.432523174901259e-24
69,4.732779417146446e-24
70,4.3815886787142825e-25
71,2.0806454818623864e-24
72,1.6293489795248547e-24
73,5.674849908631301e-26
74,6.672231631997694e-25
75,4.777797466195608e-25
76,4.508640752677978e-26
77,2.5733185827352517e-25
78,3.6312512974817656e-26
79,9.706962107181629e-26
80,2.3382427739120238e-26
81,3.3565157407790935e-26
82,1.0133204559193071e-26
83,1.0447832822348925e-26
84,3.592366190853586e-27
85,2.45663354770075e-27
86,1.1449595583179203e-27
87,4.93042822549326e-28
88,2.21035248664824e-28
89,8.370567916904458e-29
90,2.997847273028973e-29
91,9.015730548465627e-30
92,2.3571086311982527e-30
93,4.647725359246625e-31
94,7.123089792921489e-32
95,6.476688955549425e-33
96,8.176194415674615e-34
97,-3.6705383087078876e-36
98,1.9919608667918712e-35
99,-4.156762444630475e-36
100,1.2632983717705367e-36
101,-3.459926361480559e-37
102,9.649802290047967e-38
103,-2.6778589607014414e-38
104,7.429527541933305e-39
105,-2.060348869899004e-39
106,5.7127504499877496e-40
107,-1.583858977064717e-40
108,4.39111345992153e-41
109,-1.2173841643679538e-41
110,3.375035361866652e-42
111,-9.356806794661916e-43
112,2.594036008258793e-43
113,-7.19156668119899e-44
114,1.9937481995578531e-44
115,-5.527343915817136e-45
116,1.53236466422258e-45
117,-4.248222923851119e-46
118,1.1777471544759798e-46
119,-3.265099858317154e-47
120,9.051917136819038e-48
121,-2.5094838121386373e-48
122,6.957095989903411e-49
123,-1.9287297845391934e-49
124,5.347054421607174e-50
125,-1.4823735799847274e-50
126,4.1096098399064217e-51
127,-1.1393139210704557e-51
128,3.158538025712252e-52
129,-8.756463309828616e-53
130,2.4275672869445702e-53
131,-6.729979642842858e-54
132,1.8657616776173165e-54
133,-5.1724766370253e-55
134,1.4339726222095423e-55
135,-3.9754211540070264e-56
136,1.1021111523812884e-56
137,-3.0553967988368024e-57
138,8.470514981996637e-58
139,-2.3482914266622165e-58
140,6.510197212930678e-59
141,-1.804829933188251e-59
142,5.003551919375664e-60
143,-1.3871407226120754e-60
144,3.845586842740169e-61
145,-1.0661166208441927e-61
146,2.955607748775744e-62
147,-8.193866316963874e-63
148,2.271595188968946e-63
149,-6.297570030280358e-64
150,1.7458827166378886e-64
151,-4.84013105191491e-65
152,1.3418351707755602e-65
153,-3.71998529046745e-66
154,1.0312958383531337e-66
155,-2.8590734192701175e-67
156,7.926242404544801e-68
157,-2.197401357516693e-68
158,6.091881200422178e-69
159,-1.6888592773643008e-69
160,4.682044088873786e-70
161,-1.2980084923246503e-70
162,3.598483907979688e-71
163,-9.976118450388097e-72
164,2.765690833009452e-72
165,-7.667356554666731e-73
166,2.1256301016246197e-73
167,-5.892908815354214e-74
168,1.6336979021081043e-74
169,-4.529119516287717e-75
170,1.2556130153435714e-75
171,-3.480950425385021e-76
172,9.650278902915432e-77
173,-2.675357588011473e-77
174,7.416911592287937e-78
175,-2.0561484996560043e-78
176,5.698333854461664e-79
177,-1.5722144801322458e-79
178,4.06707242267652e-80
