,0
0,1.5213501631268496e-16
1,1.5213452471632522e-16
2,1.5212982133940977e-16
3,1.5210727750875383e-16
4,1.51994202705919e-16
5,1.5143058139814642e-16
6,1.4865148285478138e-16
7,1.356776554135705e-16
8,1.1554935402765847e-16
9,9.560186270442454e-17
10,7.763421249461402e-17
11,6.219938993767001e-17
12,4.932357514058034e-17
13,3.8797891225639785e-17
14,3.0320695400916464e-17
15,2.3570821150713702e-17
16,1.8244353243573055e-17
17,1.4071247547150022e-17
18,1.0820779181883676e-17
19,8.301015090411565e-18
20,6.3553463872564755e-18
21,4.857830654927454e-18
22,3.7083201232623545e-18
23,2.8278835385338913e-18
24,2.1547537319327947e-18
25,1.6408742532031198e-18
26,1.2490326352784991e-18
27,9.50525514187349e-19
28,7.232839628307054e-19
29,5.50385059180696e-19
30,4.188804433766736e-19
31,3.188804267033634e-19
32,2.4284361856201164e-19
33,1.8502258958902775e-19
34,1.4105432872853952e-19
35,1.075823280658456e-19
36,8.219544466504059e-20
37,6.255825767510217e-20
38,4.8714275314566723e-20
39,3.713551115231274e-20
40,2.762523941511737e-20
41,2.142858994119902e-20
42,1.641559820634038e-20
43,1.265061801947391e-20
44,9.749055072638323e-21
45,7.525132039116203e-21
46,5.8290460037159376e-21
47,4.4803039515369546e-21
48,3.609530967442645e-21
49,2.77195100805185e-21
50,2.0267087199476623e-21
51,1.6273143509495881e-21
52,1.24836218839054e-21
53,1.055701655142254e-21
54,8.101873711782713e-22
55,5.71589148073145e-22
56,4.651403368796843e-22
57,4.0477020863481414e-22
58,3.1465492874934473e-22
59,2.0691795033909246e-22
60,2.043972523763207e-22
61,1.5602737931383886e-22
62,1.0004702914106547e-22
63,1.0349715634737643e-22
64,7.615296039062389e-23
65,6.130831642568924e-23
66,5.0173435343367765e-23
67,3.80557440943874e-23
68,3.3611782586264363e-23
69,2.3884062007682498e-23
70,2.3610384192444445e-23
71,1.9293689605570305e-23
72,1.2324884811440191e-23
73,9.698201636101593e-24
74,1.0424762258977437e-23
75,7.745040518919236e-24
76,6.362645357254896e-24
77,5.051647077675183e-24
78,4.113241624725722e-24
79,3.2403831317027218e-24
80,3.0743921294832132e-24
81,2.4050987256507198e-24
82,1.5207142091920605e-24
83,1.5609521486863707e-24
84,1.2186152948831734e-24
85,9.154888756451795e-25
86,8.285021779113437e-25
87,6.3209578172362705e-25
88,5.062986442152775e-25
89,4.046012179739905e-25
90,3.3342483925980564e-25
91,2.715479438212113e-25
92,2.1525445862373065e-25
93,1.745967142157564e-25
94,1.4126440483339071e-25
95,1.1295387400117989e-25
96,9.140057858512465e-26
97,7.561879737465388e-26
98,6.360708669973676e-26
99,5.407232941023068e-26
100,4.62456328633846e-26
101,3.969917740675075e-26
102,3.4160465971391254e-26
103,2.94376002537064e-26
104,2.5394066600347175e-26
105,2.1922157573605248e-26
106,1.8936248547720432e-26
107,1.6365369776393712e-26
108,1.415000981193129e-26
109,1.2239704111545473e-26
110,1.059145926727075e-26
111,9.168542066919912e-27
112,7.939518455070748e-27
113,6.87745740452339e-27
114,5.959263388205705e-27
115,5.165112462950498e-27
116,4.477974688226842e-27
117,3.883208814520917e-27
118,3.368217885274494e-27
119,2.922156235741307e-27
120,2.535679803427698e-27
121,2.2007332573052378e-27
122,1.9103681362511744e-27
123,1.6585874667492978e-27
124,1.4402127622471028e-27
125,1.2507701335044027e-27
126,1.0863926309458045e-27
127,9.437364633061625e-28
128,8.199090462489015e-28
129,7.124071563711977e-28
130,6.190637532284796e-28
131,5.380021913228564e-28
132,4.67596795843147e-28
133,4.064388856639412e-28
134,3.533074691800726e-28
135,3.071439610015326e-28
136,2.670303591610085e-28
137,2.321703930724617e-28
138,2.0187323352703336e-28
139,1.7553941117942193e-28
140,1.5264863805577239e-28
141,1.3274926802045e-28
142,1.1544917902788405e-28
143,1.0040787461824537e-28
144,8.732964513552616e-29
145,7.595764275696028e-29
146,6.606874604281678e-29
147,5.746910893816642e-29
148,4.999030128796816e-29
149,4.348596111121114e-29
150,3.7828891678677767e-29
151,3.290854159601701e-29
152,2.8628818713506445e-29
153,2.4906192466860643e-29
154,2.1668046632205267e-29
155,1.8851248654441538e-29
156,1.6400907911376342e-29
157,1.4269296771499808e-29
158,1.2414913542254242e-29
159,1.0801668506321543e-29
160,9.398176674796366e-30
161,8.177143184833149e-30
162,7.114829331661168e-30
163,6.190588398899499e-30
164,5.386462310998042e-30
165,4.686830960429021e-30
166,4.078107372963345e-30
167,3.54847277580622e-30
168,3.0876461006535404e-30
169,2.6866839481619266e-30
170,2.33780547777961e-30
171,2.034244263163175e-30
172,1.7701046355304305e-30
173,1.5402902571009811e-30
174,1.340248944677754e-30
175,1.1664471501946614e-30
176,1.014270622643449e-30
177,8.852595514049455e-31
178,7.607172652603278e-31
