,0
0,1.4199478949611785e-16
1,1.4199432268214493e-16
2,1.4198985642878499e-16
3,1.4196844925084027e-16
4,1.418610762281633e-16
5,1.4132589081157748e-16
6,1.3868738943476612e-16
7,1.2637875814201383e-16
8,1.0731449275582226e-16
9,8.846758046236634e-17
10,7.154065925716531e-17
11,5.704808289873105e-17
12,4.5003068455543905e-17
13,3.519680220707878e-17
14,2.7334405729007477e-17
15,2.1104663544446e-17
16,1.6214771229760778e-17
17,1.2405790339604539e-17
18,9.457453943820856e-18
19,7.187317809796552e-18
20,5.447167753090824e-18
21,4.1183541531485915e-18
22,3.1069788372524046e-18
23,2.3394099640826428e-18
24,1.758336751365478e-18
25,1.3194251984605771e-18
26,9.885553094051562e-19
27,7.395813187807812e-19
28,5.525416728093832e-19
29,4.1224445870643506e-19
30,3.0715942275973393e-19
31,2.285562238942472e-19
32,1.698389692131489e-19
33,1.2603201149235295e-19
34,9.339455496289168e-20
35,6.909599956896675e-20
36,5.107883798797274e-20
37,3.7558468776423056e-20
38,2.8072466702115304e-20
39,2.0554528116326434e-20
40,1.4677614281303177e-20
41,1.085557855663105e-20
42,7.905579893857349e-21
43,5.769742852939619e-21
44,4.192921611976848e-21
45,3.0391644333307546e-21
46,2.1980005987508738e-21
47,1.5749408232511197e-21
48,1.1586382335815802e-21
49,8.197934532917194e-22
50,5.538539275901167e-22
51,4.0119250369726706e-22
52,2.792060671539303e-22
53,2.0435868848919935e-22
54,1.3988129286725211e-22
55,8.909501684976892e-23
56,6.323091714681281e-23
57,4.47390436579668e-23
58,2.990214639030586e-23
59,1.7650050412612306e-23
60,1.2991783750117037e-23
61,8.43456121567619e-24
62,4.921774375551999e-24
63,3.5337386251537e-24
64,2.1916918072790605e-24
65,1.2594906209551446e-24
66,8.096124002019146e-25
67,5.326807656241847e-25
68,3.4258697278701136e-25
69,1.8516293693396997e-25
70,1.1779529890916214e-25
71,8.74499902430922e-26
72,4.60705180882819e-26
73,2.863365362221173e-26
74,2.167879210489476e-26
75,1.1438952576941993e-26
76,7.075318240724563e-27
77,4.713840227129396e-27
78,2.5623431175173956e-27
79,1.6426397279619155e-27
80,8.586117679014104e-28
81,5.075925244237342e-28
82,2.517031065349058e-28
83,1.3683729447223246e-28
84,6.190951738390408e-29
85,3.094132372487192e-29
86,1.319406460218289e-29
87,5.398176984239728e-30
88,2.1030701262562896e-30
89,7.335788010449944e-31
90,2.332993297156466e-31
91,6.408553455321857e-32
92,1.498237074707406e-32
93,2.7317505245118653e-33
94,3.7385644513601018e-34
95,3.265823305105356e-35
96,2.9356696839974488e-36
97,8.534868330770453e-38
98,3.651242068532931e-38
99,-5.321329324685225e-39
100,1.6097894287372757e-39
101,-4.0051263835675515e-40
102,1.0388331893585531e-40
103,-2.6799780091417944e-41
104,6.926309226833809e-42
105,-1.790619839588379e-42
106,4.6301348947674075e-43
107,-1.197345231209791e-43
108,3.0964164660739345e-44
109,-8.007647313858073e-45
110,2.0708708214839788e-45
111,-5.355531008400075e-46
112,1.3850107583695545e-46
113,-3.581827377893468e-47
114,9.263112338683572e-48
115,-2.39557558985269e-48
116,6.195315249237646e-49
117,-1.6022026766156595e-49
118,4.1435437910638547e-50
119,-1.0715854408385758e-50
120,2.771290186858516e-51
121,-7.167001559825256e-52
122,1.8535027950647603e-52
123,-4.793461174949229e-53
124,1.2396679464559007e-53
125,-3.20598656655923e-54
126,8.291214886594303e-55
127,-2.1442467900386575e-55
128,5.545382156015266e-56
129,-1.4341292142282494e-56
130,3.7089003921743954e-57
131,-9.591844575407957e-58
132,2.4806138077962585e-58
133,-6.4152891170017675e-59
134,1.6591030482959336e-59
135,-4.2907235068444495e-60
136,1.1096543819651287e-60
137,-2.8697559730025493e-61
138,7.42168014072483e-62
139,-1.9193736021623117e-62
140,4.963829197339058e-63
141,-1.2837313697588505e-63
142,3.3199496304615745e-64
143,-8.58595980880837e-65
144,2.2204766869229024e-65
145,-5.742534276268659e-66
146,1.4851180741680222e-66
147,-3.840770666988175e-67
148,9.93289355247662e-68
149,-2.56881712124964e-68
150,6.643403008320772e-69
151,-1.7180983305853238e-69
152,4.443297969982653e-70
153,-1.1491133205369198e-70
154,2.971804866755567e-71
155,-7.685598980038159e-72
156,1.987628206359359e-72
157,-5.140348765222154e-73
158,1.3293827005456483e-73
159,-3.4380125525692323e-74
160,8.891292482468348e-75
161,-2.299441343672257e-75
162,5.94675133545786e-76
163,-1.5379323088749522e-76
164,3.97735779962599e-77
165,-1.0286132308940989e-77
166,2.660170961925521e-78
167,-6.879660282302745e-79
168,1.7791986369614588e-79
169,-4.6013141110901855e-80
170,1.189979085177904e-80
171,-3.077490870563998e-81
172,7.958921494651297e-82
173,-2.058314469314465e-82
174,5.3231658924925664e-83
175,-1.3766989787213372e-83
176,3.561700549490796e-84
177,-9.258779346979104e-85
178,2.5662073984865507e-85
