,0
0,4.60327016743207e-16
1,4.60323593897062e-16
2,4.603064801257677e-16
3,4.602209227538381e-16
4,4.597934228526524e-16
5,4.576630779718679e-16
6,4.471878300520838e-16
7,3.9894142592633083e-16
8,3.2638733203354507e-16
9,2.5754568541828945e-16
10,1.98534072598747e-16
11,1.5048648760087775e-16
12,1.1261038764720899e-16
13,8.341897251008233e-17
14,6.129456410758993e-17
15,4.474128913722199e-17
16,3.2481896154907456e-17
17,2.347662189673305e-17
18,1.690558626771457e-17
19,1.2136854808054214e-17
20,8.691581508106e-18
21,6.211657675311683e-18
22,4.4320285492096894e-18
23,3.158134189736144e-18
24,2.2481171789461566e-18
25,1.5991126993774552e-18
26,1.136865884892763e-18
27,8.079729113284232e-19
28,5.74142988755618e-19
29,4.079902617962613e-19
30,2.899682809989507e-19
31,2.0614909632467734e-19
32,1.466214654397644e-19
33,1.0433983919884875e-19
34,7.429977822491042e-20
35,5.294869643861567e-20
36,3.7765631924403016e-20
37,2.696205038146857e-20
38,1.926906321212728e-20
39,1.3656884826269963e-20
40,9.791154704442158e-21
41,7.029116173804232e-21
42,5.053411339124111e-21
43,3.638442159050107e-21
44,2.6237317294650097e-21
45,1.8950381321258363e-21
46,1.3709611391948923e-21
47,9.934358997324875e-22
48,7.2092121979510125e-22
49,5.146304522808906e-22
50,3.761414702311552e-22
51,2.7540826037988365e-22
52,2.0197472226357238e-22
53,1.483016086624528e-22
54,1.0553802907545657e-22
55,7.832887489259479e-23
56,5.820140020323499e-23
57,4.32485603190457e-23
58,3.0767208770322356e-23
59,2.3188169907356458e-23
60,1.745517576196403e-23
61,1.2408976055067814e-23
62,9.49233327655809e-24
63,7.218875877189823e-24
64,5.20812770123134e-24
65,4.023227459765958e-24
66,2.9094498813894056e-24
67,2.2747902514479223e-24
68,1.664402558635776e-24
69,1.299943620291851e-24
70,9.74590136919061e-25
71,7.216449885651961e-25
72,5.3507774837203475e-25
73,4.366126943805266e-25
74,3.317280729820286e-25
75,2.5261011844762063e-25
76,1.934430304742775e-25
77,1.4911642095549516e-25
78,1.1568764900890777e-25
79,9.02173740462532e-26
80,7.048450322584284e-26
81,5.233670398143241e-26
82,4.173716576466334e-26
83,3.314614239222808e-26
84,2.53827695894782e-26
85,2.026045431092594e-26
86,1.581630955989079e-26
87,1.2388785899589438e-26
88,9.766577364323477e-27
89,7.731273412162256e-27
90,6.117232262072732e-27
91,4.801045850515203e-27
92,3.75745750595733e-27
93,2.9153680119064196e-27
94,2.2221433441075663e-27
95,1.6661516466129164e-27
96,1.2511843619875125e-27
97,9.593267971828628e-28
98,7.504470237868599e-28
99,5.944982132329221e-28
100,4.744865758511989e-28
101,3.804174060392058e-28
102,3.0583576663194744e-28
103,2.4629273523956553e-28
104,1.9855395987679695e-28
105,1.6018274210176169e-28
106,1.2929441295806652e-28
107,1.0440624412618595e-28
108,8.433962745727122e-29
109,6.81522926376559e-29
110,5.508863094510988e-29
111,4.4541732298427334e-29
112,3.60236443925153e-29
113,2.9141776589320645e-29
114,2.3580073639092476e-29
115,1.908395672192399e-29
116,1.5448262125371053e-29
117,1.2507571237357101e-29
118,1.0128451879890287e-29
119,8.203228669496477e-30
120,6.644977148039892e-30
121,5.383499358065328e-30
122,4.362085749866647e-30
123,3.534908883689016e-30
124,2.864924130192922e-30
125,2.322178110069642e-30
126,1.8824448966137273e-30
127,1.5261260760798795e-30
128,1.2373632010221515e-30
129,1.0033213347029968e-30
130,8.136105412120686e-31
131,6.598185339951746e-31
132,5.351330599436742e-31
133,4.340366731236741e-31
134,3.5205994498826425e-31
135,2.8558187960047505e-31
136,2.3166846806156907e-31
137,1.879420539741759e-31
138,1.524756121242099e-31
139,1.237071726203148e-31
140,1.0037053717661989e-31
141,8.14391732941087e-32
142,6.608077896286518e-32
143,5.362047509894178e-32
144,4.3510988481922177e-32
145,3.530849240136952e-32
146,2.865302855003906e-32
147,2.3252640541108855e-32
148,1.8870513420619926e-32
149,1.5314548440951035e-32
150,1.242891198930396e-32
151,1.0087183036533444e-32
152,8.186797229639896e-33
153,6.644541486157687e-33
154,5.392900340810043e-33
155,4.377092600293159e-33
156,3.5526681116757926e-33
157,2.8835582731820106e-33
158,2.3404947388747557e-33
159,1.8997266861197856e-33
160,1.5419801870178885e-33
161,1.2516139516597162e-33
162,1.0159344010854677e-33
163,8.246399272905676e-34
164,6.693699984735198e-34
165,5.433392849264062e-34
166,4.410407808002853e-34
167,3.5800490964456892e-34
168,2.906040313131713e-34
169,2.3589380888954184e-34
170,1.9148446945162606e-34
171,1.5543632920746532e-34
172,1.2617500737221476e-34
173,1.0242261405727352e-34
174,8.314190411257753e-35
175,6.74909535395465e-35
176,5.478637285600024e-35
177,4.4473450619430067e-35
178,3.6101921044691864e-35
