,0
0,4.2229993564125506e-16
1,4.2229674093749455e-16
2,4.222807678524594e-16
3,4.2220091327027546e-16
4,4.218019112865853e-16
5,4.198136561423929e-16
6,4.1003897569731783e-16
7,3.6506205782459455e-16
8,2.9757570949573396e-16
9,2.337503713552947e-16
10,1.7925068413258354e-16
11,1.3507267314094806e-16
12,1.0041870398040292e-16
13,7.385600595416627e-17
14,5.384405047935418e-17
15,3.896874986442644e-17
16,2.803002409466829e-17
17,2.005651990402085e-17
18,1.4286680003912584e-17
19,1.0136983863436291e-17
20,7.168003839821042e-18
21,5.0532599643717e-18
22,3.552789213848144e-18
23,2.491758617937234e-18
24,1.7437073474720576e-18
25,1.2177159560152098e-18
26,8.487518051830946e-19
27,5.905017941087891e-19
28,4.1010829835405017e-19
29,2.843364978168286e-19
30,1.9680364612916773e-19
31,1.3598798878030514e-19
32,9.380510317600136e-20
33,6.459428999393912e-20
34,4.439955759943629e-20
35,3.046120209568058e-20
36,2.0857303515714852e-20
37,1.425155319561248e-20
38,9.716246161402543e-21
39,6.5464679210424615e-21
40,4.444860870421338e-21
41,3.009792667120623e-21
42,2.0321008524922463e-21
43,1.3676499595298178e-21
44,9.172819304008317e-22
45,6.129014021816578e-22
46,4.078320735841053e-22
47,2.701414228920451e-22
48,1.7801279426951908e-22
49,1.146098888523479e-22
50,7.495041415024011e-23
51,4.8727376339072983e-23
52,3.1452103899774406e-23
53,2.01384990433312e-23
54,1.2394186458777338e-23
55,7.858428745208847e-24
56,4.932706288495723e-24
57,3.060137352578082e-24
58,1.803125332259542e-24
59,1.1050802133756095e-24
60,6.756169293700697e-25
61,3.8721324111310903e-25
62,2.322634374848236e-25
63,1.3670178780230546e-25
64,7.653838533443579e-26
65,4.4344640385862665e-26
66,2.603243807581325e-26
67,1.5154791491080337e-26
68,8.4584057393563e-27
69,4.79424413925562e-27
70,2.9422441773312588e-27
71,1.6661649228788692e-27
72,9.309104927997453e-28
73,5.7266296018534025e-28
74,3.216090733015355e-28
75,1.7604717522529685e-28
76,1.0381356575850545e-28
77,5.562792275671451e-29
78,3.094956443606142e-29
79,1.5970912481188582e-29
80,8.350857557703234e-30
81,4.075804082869567e-30
82,1.9865733510170776e-30
83,9.00689239898622e-31
84,4.029076522183445e-31
85,1.7019133738286117e-31
86,6.675847594371887e-32
87,2.497581497896498e-32
88,8.633929666928177e-33
89,2.722288999555894e-33
90,7.682705852463898e-34
91,1.8881695663823896e-34
92,3.881367866750536e-35
93,6.30665541999762e-36
94,7.450961883709743e-37
95,6.070163838204862e-38
96,3.843542297152001e-39
97,2.3254321886560114e-40
98,1.3903016358733328e-41
99,7.766528403785373e-43
100,3.8534323975018373e-44
101,1.6353491168956303e-45
102,5.761836226857833e-47
103,1.6427978012032995e-48
104,3.704479348794437e-50
105,6.466695945525591e-52
106,8.558335647903409e-54
107,8.408152498322655e-56
108,5.999627418829177e-58
109,3.0383369944456163e-60
110,1.0654966121204424e-62
111,2.5202317649073293e-65
112,3.90885451513768e-68
113,3.856944559186737e-71
114,2.3438901590464673e-74
115,8.472831342181904e-78
116,1.7551905229558986e-81
117,2.001992704832193e-85
118,1.2045604436014074e-89
119,3.651451376423484e-94
120,5.308562525068445e-99
121,3.510948413601953e-104
122,9.981968580171276e-110
123,1.1481231420093335e-115
124,5.005852104259318e-122
125,7.715885206112817e-129
126,3.9014865907048714e-136
127,5.972967610090274e-144
128,2.540606842248129e-152
129,2.738138051388691e-161
130,6.7740154211067395e-171
131,3.460377146126555e-181
132,3.2582884007822386e-192
133,5.007235561632291e-204
134,1.102295609984442e-216
135,3.022457644496263e-230
136,8.885533558863947e-245
137,2.3849580585827713e-260
138,4.919726081802139e-277
139,6.4843713595780095e-295
140,4.4801584003e-314
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
