,0
0,87438.52649090103
1,87438.00186170942
2,87435.37877477128
3,87422.26481543742
4,87356.73188554743
5,87029.98676692696
6,85418.98482512869
7,77900.60781622767
8,66247.12229227068
9,54712.05529694741
10,44336.97035372881
11,35439.10430673833
12,28030.131263257943
13,21985.775568039582
14,17128.601552999295
15,13270.518984190532
16,10234.054254442954
17,7861.886314047313
18,6019.894265704934
19,4596.746293708375
20,3501.7985463544974
21,2662.3213240678974
22,2020.6179554442335
23,1531.3287889194844
24,1159.0522601979685
25,876.3230013665416
26,661.937461433108
27,499.59332343754886
28,376.7996007680712
29,284.01331075821855
30,213.96157845162634
31,161.1131613937356
32,121.26885128186228
33,91.24552994237894
34,68.63343936050661
35,51.61032239688029
36,38.79951089214874
37,29.161826202023292
38,21.913402736530642
39,16.463323774617812
40,12.366364490005026
41,9.287225870573604
42,6.973495445420341
43,5.235223774831901
44,3.929510744087777
45,2.9488805025976776
46,2.212519006906433
47,1.6596726787529443
48,1.2446773539231866
49,0.9332162978838168
50,0.699504389734726
51,0.5241698103793063
52,0.3926608788204709
53,0.29404807977339825
54,0.22012346334111885
55,0.16472368761740946
56,0.12322125842194015
57,0.09214222623601032
58,0.06887894727801758
59,0.051474300780669266
60,0.03845960354859119
61,0.028732881736191825
62,0.02146746423099817
63,0.01604335517752322
64,0.011995718470460617
65,0.00897621171938539
66,0.00672396342617156
67,0.005043782750550145
68,0.0037897900589006074
69,0.0028531081024624626
70,0.0021525977109838742
71,0.001627880135436275
72,0.0012340822184277655
73,0.00093788413158094
74,0.0007145539418295528
75,0.0005457300445692669
76,0.0004177689837530633
77,0.0003205189315516738
78,0.00024641187262224116
79,0.0001897931573507307
80,0.00014642691303793756
81,0.00011313128377934803
82,8.75092238714254e-05
83,6.774954040265189e-05
84,5.247955953459074e-05
85,4.065577192319749e-05
86,3.148247222843302e-05
87,2.4351099504695907e-05
88,1.8794938144996292e-05
89,1.445525786321081e-05
90,1.105598935400556e-05
91,8.384797670189127e-06
92,6.279088772501022e-06
93,4.616370043379064e-06
94,3.3102050672364716e-06
95,2.3146182792207573e-06
96,1.6140826165619415e-06
97,1.152768443564313e-06
98,8.432368712090177e-07
99,6.261221411017776e-07
100,4.6896296730685426e-07
101,3.530211005672274e-07
102,2.6650442161157537e-07
103,2.0150535399446378e-07
104,1.5248208043910747e-07
105,1.1543032013968813e-07
106,8.739713825821582e-08
107,6.617705177756026e-08
108,5.011088555275481e-08
109,3.794582411963223e-08
110,2.8734288179116363e-08
111,2.17590702398353e-08
112,1.6477187621886917e-08
113,1.2477520783913488e-08
114,9.448778210211658e-09
115,7.155250893372617e-09
116,5.418457814691896e-09
117,4.10324959580287e-09
118,3.1072872166096914e-09
119,2.3530758643737995e-09
120,1.7819330616468474e-09
121,1.349421580322939e-09
122,1.0218911041680287e-09
123,7.738596414255104e-10
124,5.860306200173205e-10
125,4.4379140119434665e-10
126,3.360762798946849e-10
127,2.5450551027324116e-10
128,1.9273332953704592e-10
129,1.4595424211133975e-10
130,1.105291557254125e-10
131,8.370226014425977e-11
132,6.338663413087402e-11
133,4.8001891311381655e-11
134,3.635123257240597e-11
135,2.7528341535287955e-11
136,2.0846879428932464e-11
137,1.5787092355517134e-11
138,1.1955378240105245e-11
139,9.053667839351447e-12
140,6.856237495711363e-12
141,5.192149592497513e-12
142,3.931955414262257e-12
143,2.9776250620859703e-12
144,2.254921721784991e-12
145,1.7076267856074061e-12
146,1.2931665773503924e-12
147,9.793005666439808e-13
148,7.416133864475371e-13
149,5.616155568546586e-13
150,4.253052203178035e-13
151,3.220789268441965e-13
152,2.439068057129685e-13
153,1.8470792740382328e-13
154,1.3987727472622268e-13
155,1.0592751758869281e-13
156,8.02177419923931e-14
157,6.074801304844492e-14
158,4.600380207339927e-14
159,3.483817356549307e-14
160,2.63825661432184e-14
161,1.9979227667809847e-14
162,1.5130049864481527e-14
163,1.1457820755517123e-14
164,8.676881978685667e-15
165,6.570907588324549e-15
166,4.976076277836926e-15
167,3.768328029840985e-15
168,2.8537135224566037e-15
169,2.1610859852569905e-15
170,1.636566744310583e-15
171,1.2393540681269146e-15
172,9.385492618837225e-16
173,7.107530798616185e-16
174,5.382455254556568e-16
175,4.0760744364685343e-16
176,3.0867665481021863e-16
177,2.337574511458447e-16
178,1.770219585005898e-16
