,0
0,-3.25571602011549e-17
1,8.884811562748001e-18
2,-2.054247375761755e-18
3,8.382205770045885e-19
4,7.423102708296082e-20
5,2.772353438693631e-19
6,2.1582598758220873e-19
7,2.4846047718455984e-19
8,2.2205561335102593e-19
9,2.378635360616199e-19
10,2.323212326144881e-19
11,2.30300207445397e-19
12,2.3891328905890907e-19
13,2.271694712805824e-19
14,2.357520739738543e-19
15,2.2803764230127463e-19
16,2.3898996255094566e-19
17,2.2789059237862066e-19
18,2.282243827094224e-19
19,2.4176477004301615e-19
20,2.237708044739641e-19
21,2.2899981868973454e-19
22,2.410822523825401e-19
23,2.224107477739539e-19
24,2.3064552321000324e-19
25,2.3655631143452226e-19
26,2.2013809116291547e-19
27,2.4152074258382475e-19
28,2.1696570828892787e-19
29,2.400529483865387e-19
30,2.1990052719562594e-19
31,2.322879037191343e-19
32,2.290838770178275e-19
33,2.2404427411079785e-19
34,2.290996274011716e-19
35,2.272418188797581e-19
36,2.2846215373886773e-19
37,2.2501601891111235e-19
38,2.2699462944647607e-19
39,2.3628135277893826e-19
40,2.1274976229061657e-19
41,2.402493141649371e-19
42,2.2218146473879854e-19
43,2.3804106358302377e-19
44,2.30888777211547e-19
45,2.467829062102343e-19
46,2.401235210269365e-19
47,2.381665432721324e-19
48,2.5012794652096617e-19
49,2.5215439896001895e-19
50,2.4651684633108206e-19
51,3.306165519154778e-19
52,8.420396045526667e-20
53,3.2741129419602883e-19
54,2.7005553939037688e-19
55,2.9948507541405833e-19
56,2.91995420981384e-19
57,3.085104633638966e-19
58,3.150165392008303e-19
59,3.604738833536929e-19
60,2.6983281065280493e-19
61,3.867597269446044e-19
62,3.3175927540586254e-19
63,3.841697420377455e-19
64,3.7592775357984933e-19
65,3.891180702321087e-19
66,4.064789086958353e-19
67,4.0268914145904444e-19
68,4.671030677159156e-19
69,3.700842271260559e-19
70,4.845640149950758e-19
71,4.472026577868186e-19
72,4.783982849404867e-19
73,4.774883484387848e-19
74,4.90716633592521e-19
75,4.86537277417246e-19
76,5.390076568281431e-19
77,4.6401484913302265e-19
78,5.359588413057134e-19
79,5.17875472472642e-19
80,5.1419587214698845e-19
81,5.302962066953442e-19
82,5.1628072483545235e-19
83,5.155289645123426e-19
84,5.159948538169852e-19
85,5.144072670985354e-19
86,4.856952587285456e-19
87,4.9590240347023735e-19
88,4.868821030164788e-19
89,4.694406398017593e-19
90,4.631293617707975e-19
91,4.446046093463241e-19
