,0
0,-5.968005452431864e-17
1,1.6374403945744205e-17
2,-2.6429245526268546e-18
3,2.1760192193629498e-18
4,8.802375478546866e-19
5,1.2053146449633145e-18
6,1.1367100813878733e-18
7,9.528328023937293e-19
8,1.296734730168113e-18
9,9.067811843710041e-19
10,1.0564946661183513e-18
11,1.0191640490673257e-18
12,8.70565227016358e-19
13,1.133626670152572e-18
14,8.127226422068343e-19
15,9.655686106595676e-19
16,7.799597121219532e-19
17,1.0150458098173021e-18
18,7.575683059071725e-19
19,7.866779047387967e-19
20,8.575488680279617e-19
21,7.585808172834342e-19
22,6.891045802207481e-19
23,7.926581915417983e-19
24,6.854126571450409e-19
25,6.12163384378537e-19
26,7.61480829289868e-19
27,5.146528587776992e-19
28,7.151298171650928e-19
29,4.805256132380016e-19
30,6.518934462549675e-19
31,4.536420693820906e-19
32,5.677184820984216e-19
33,4.685649663434966e-19
34,4.551334125402126e-19
35,4.519283085271307e-19
36,4.18459611453438e-19
37,4.0302349725446604e-19
38,3.638603363365169e-19
39,3.5426081379712223e-19
40,3.446539750205633e-19
41,3.322919311507362e-19
42,3.2074799314547244e-19
43,2.646332446864699e-19
44,3.0468124656415014e-19
45,2.5402203238542033e-19
46,3.0536456708564107e-19
47,2.5010342334325225e-19
48,2.1252288136487862e-19
49,2.435135929127592e-19
50,2.0719232987509086e-19
51,2.035474242552163e-19
52,3.8449100498225666e-19
53,-2.921549554587287e-19
54,3.2804772445657353e-19
55,1.5748489974789963e-19
56,2.2789310427225567e-19
57,1.5345749108563913e-19
58,1.5287913076806553e-19
59,1.8246940467695538e-19
60,1.5922548287295344e-19
61,1.4859808074235998e-19
62,1.931138221636941e-19
63,1.1414049025678044e-20
64,2.2855267221584516e-19
65,1.2499645322178817e-19
66,1.188131045980215e-19
67,1.47264282636078e-19
68,8.882345404080652e-20
69,2.0619710132388885e-19
70,-2.7879652415040376e-20
71,2.0016026232566714e-19
72,4.7818236566886e-20
73,1.5439865620828699e-19
74,1.0935639871262243e-19
