,0
0,0.0
1,2.42687513229963e-17
2,1.7302603494500462e-17
3,1.8451394702608912e-17
4,1.7511695914050213e-17
5,1.7131476725688586e-17
6,1.6602370888867147e-17
7,1.609848802198898e-17
8,1.5668763476855572e-17
9,1.5081854171910566e-17
10,1.4663088151220032e-17
11,1.417078313867875e-17
12,1.3690045746937878e-17
13,1.3271931011654296e-17
14,1.2725173489147969e-17
15,1.2324065895349523e-17
16,1.1843803186082099e-17
17,1.1447898871778076e-17
18,1.0929758708116418e-17
19,1.0534006110487351e-17
20,1.011778342976146e-17
21,9.657456950176991e-18
22,9.243612049747696e-18
23,8.859600121686428e-18
24,8.41192174231339e-18
25,8.017496479536404e-18
26,7.65629018253199e-18
27,7.202822872978592e-18
28,6.885460667987001e-18
29,6.4390524158029065e-18
30,6.1288610243881144e-18
31,5.7026626128350026e-18
32,5.393522088573513e-18
33,5.011220947033293e-18
34,4.683640496143173e-18
35,4.346229715246329e-18
36,4.0286574259388354e-18
37,3.742086318065196e-18
38,3.452225560491444e-18
39,3.18377804998667e-18
40,2.924300780579846e-18
41,2.753365159721649e-18
42,2.624489241979698e-18
43,2.445328069961025e-18
44,2.2984638924973565e-18
45,2.1310415781218155e-18
46,2.014627785740004e-18
47,1.9055160712406057e-18
48,1.797974235168687e-18
49,1.7038362134301194e-18
50,1.5935712788230493e-18
51,1.5083650417665129e-18
52,1.4378841646011789e-18
53,1.3024743521764714e-18
54,1.3568114422909488e-18
55,1.2421874527492667e-18
56,1.1869076842090133e-18
57,1.1178239717762795e-18
58,1.0603931075073635e-18
59,1.0017953758292011e-18
60,9.478432367966006e-19
61,8.992932385162694e-19
62,8.715617241452724e-19
63,8.289458820190771e-19
64,8.23959182298787e-19
65,7.680550525792549e-19
66,7.356306634043893e-19
67,7.041613452724584e-19
68,6.686195433571043e-19
69,6.458402616321938e-19
70,5.968047237383877e-19
71,6.019497299979061e-19
72,5.58547740484767e-19
73,5.463925552475202e-19
74,5.103485070990683e-19
75,4.83619296019711e-19
76,4.744041197839195e-19
77,3.991823872966142e-19
78,4.689806730049517e-19
79,3.9844896667773834e-19
80,3.9058105155580806e-19
81,3.6620250551660933e-19
82,3.646345663782967e-19
83,3.3078285761804443e-19
84,3.2191089154597286e-19
85,3.129163135261525e-19
86,2.871700742683397e-19
87,2.785613852791529e-19
88,2.651349702033903e-19
89,2.609211515273448e-19
90,2.4046224972542906e-19
91,2.364232169896208e-19
92,2.1940427062107748e-19
93,2.1577649664339257e-19
