,0
0,1.458445419633298e-16
1,1.4406900626493654e-16
2,1.4097416729547826e-16
3,1.3822879549354447e-16
4,1.353831905472349e-16
5,1.32559165931122e-16
6,1.297241072102985e-16
7,1.2688661751551415e-16
8,1.2404482545621659e-16
9,1.2119962885755871e-16
10,1.1835036712489698e-16
11,1.1549782394481773e-16
12,1.1264154151953921e-16
13,1.0978160484247202e-16
14,1.0691857549473561e-16
15,1.0405203475535316e-16
16,1.0118205482541946e-16
17,9.830791520546052e-17
18,9.543097669997506e-17
19,9.254981567718223e-17
20,8.96645462254361e-17
21,8.677529155194948e-17
22,8.388122422424731e-17
23,8.098160264876072e-17
24,7.807677019866258e-17
25,7.516598711991103e-17
26,7.225074205825233e-17
27,6.932390487910059e-17
28,6.638204619775252e-17
29,6.343195582003359e-17
30,6.047372083299116e-17
31,5.748848083983967e-17
32,5.457364035734334e-17
33,5.163747988364666e-17
34,4.859175331491055e-17
35,4.5775248762878025e-17
36,4.3101139057535296e-17
37,4.0363814828642964e-17
38,3.763634579083299e-17
39,3.500114010236665e-17
40,3.326398883488285e-17
41,3.1916689240173275e-17
42,3.0034857128207654e-17
43,2.821148825005483e-17
44,2.643758542016737e-17
45,2.4999032585818842e-17
46,2.3888927761594406e-17
47,2.2587811685409916e-17
48,2.1284245162807204e-17
49,1.9969195460860517e-17
50,1.8810992669836333e-17
51,1.7847589516846773e-17
52,1.6878197893714673e-17
53,1.6351651007368802e-17
54,1.5421157317736964e-17
55,1.452635353626155e-17
56,1.3756233254264367e-17
57,1.2845621596321248e-17
58,1.1939072827706348e-17
59,1.1242481999396501e-17
60,1.0568698988304823e-17
61,1.0127644509767773e-17
62,9.6503342308033e-18
63,9.137133244648126e-18
64,8.614707610842301e-18
65,8.093290809063686e-18
66,7.57743765219219e-18
67,7.112701606592082e-18
68,6.647409316121395e-18
69,6.216061990652096e-18
70,5.828563687089018e-18
71,5.4565425308975896e-18
72,5.085289212727887e-18
73,4.706945535309021e-18
74,4.3566238068418755e-18
75,3.980560939513745e-18
76,3.655141473592141e-18
77,3.3718039956972976e-18
78,3.123840284811519e-18
79,2.8749528963541594e-18
80,2.65074666510173e-18
81,2.412219751782406e-18
82,2.198370693369325e-18
83,1.990307665765132e-18
84,1.806130617301547e-18
85,1.6279460879508599e-18
86,1.4614727698177297e-18
87,1.3056327000372868e-18
88,1.1842372408934166e-18
89,1.075352382878882e-18
90,9.489527539409232e-19
91,8.593708941423379e-19
92,7.523606898344307e-19
93,6.696154945959495e-19
94,5.912629304186724e-19
95,5.139279050705561e-19
96,4.535240205448354e-19
97,4.0054773344425226e-19
98,3.469182987156697e-19
99,2.9697165687753525e-19
100,2.62596680257353e-19
101,2.271286629222943e-19
102,1.9660638327705643e-19
103,1.744010365076642e-19
104,1.4608705289319166e-19
105,1.253895136789633e-19
106,1.0659319965196265e-19
107,9.008756945992928e-20
108,7.566552064293175e-20
109,6.612815256682085e-20
110,5.592927413882049e-20
111,4.738478268348583e-20
112,3.9504438401587685e-20
113,3.270111230764904e-20
114,2.7068554076208503e-20
115,2.3018845299097586e-20
116,1.84994401453633e-20
117,1.5701713883902666e-20
118,1.253500275471221e-20
119,1.0598409168000995e-20
120,8.986899435270964e-21
121,7.236027273939834e-21
122,5.9212991793009184e-21
123,4.813023257487119e-21
124,3.878041975813034e-21
125,3.1418605638730576e-21
126,2.5956960743997338e-21
127,2.045059361118561e-21
128,1.6904717329631992e-21
129,1.3175910211798924e-21
130,1.0818858467650846e-21
131,8.174610810037968e-22
132,6.285250379904018e-22
133,4.960082674711147e-22
134,3.9029837792770446e-22
135,3.1337338236553984e-22
136,2.5422718563811e-22
137,1.9487003604540356e-22
138,1.5847128349536757e-22
139,1.2034583553122946e-22
140,9.505634965696283e-23
141,7.439099171444044e-23
142,5.752998752131898e-23
143,4.556340018888711e-23
144,3.649660443323014e-23
145,2.791896357691301e-23
146,2.0938277858881596e-23
147,1.521614140149323e-23
148,1.2020089299141438e-23
149,8.567165511623086e-24
150,6.958750457355575e-24
151,5.01194473172058e-24
152,3.961531931214394e-24
153,2.9548076602213924e-24
154,2.1708471896594513e-24
155,1.5294871082383694e-24
156,1.1553917654431115e-24
157,8.274346087975297e-25
158,6.402722318069919e-25
159,4.577676164044553e-25
160,3.4435596344808743e-25
161,2.375723602701332e-25
162,1.7959400133197692e-25
163,1.2194305353971085e-25
164,8.496209139626422e-26
165,6.082822780995526e-26
166,4.26892361048938e-26
167,3.067587454454218e-26
168,2.1742291863973035e-26
169,1.596834555434653e-26
170,1.138294176594537e-26
171,8.38655469452506e-27
172,5.6792748025088576e-27
173,5.175921471080736e-27
174,3.794527588419333e-27
175,2.4345822947742948e-27
176,1.830876234687046e-27
177,1.2724873717659246e-27
178,9.002154458342748e-28
179,6.433075435965374e-28
180,4.60394777892594e-28
181,3.173020500166324e-28
182,2.2972979782369343e-28
183,1.4977357499648625e-28
184,1.107083485694661e-28
185,7.962264774383601e-29
186,5.651607404195889e-29
187,3.82176189347927e-29
188,2.6002874399520734e-29
189,1.7320284980842312e-29
190,1.1847226668830064e-29
191,7.634056260061848e-30
192,5.091166747276792e-30
193,3.4549554029840926e-30
194,2.2537204571733617e-30
195,1.4880481602953378e-30
196,9.311192812458072e-31
197,5.549227284343753e-31
198,3.637192335128428e-31
199,2.1329779080221732e-31
200,1.4283487168873946e-31
201,8.55969974066241e-32
202,5.286382213918613e-32
203,3.263470426579465e-32
204,2.1317754247442675e-32
205,1.2762293935700666e-32
206,7.367528464350032e-33
207,4.4422337849708744e-33
208,2.439046355416806e-33
209,1.419440081074393e-33
210,8.572688484496099e-34
211,4.874772114809776e-34
212,2.867732099723009e-34
213,1.6309371118505235e-34
214,8.672444023470482e-35
215,4.39842266046114e-35
216,2.3904238429880883e-35
217,1.1124127874657909e-35
218,5.2037047918015515e-36
219,2.888910471210798e-36
220,1.4421294655981114e-36
221,6.8087319253309865e-37
222,2.698122051805835e-37
223,1.1344541305036235e-37
224,5.03171397448231e-38
225,1.888655982360406e-38
226,7.750252724084407e-39
227,2.9074506392753893e-39
228,1.0746228377381777e-39
229,3.6634502357385706e-40
230,1.1062439720681312e-40
231,3.289190125236984e-41
232,8.531471771881563e-42
233,1.7315966031380387e-42
234,3.0334133412495667e-43
235,5.419960728917162e-44
236,5.730166536868968e-45
237,6.614385224591599e-46
238,1.919288960481606e-47
239,8.93612916450129e-48
240,-2.033712180045007e-48
241,4.3706665021928584e-51
242,-2.1260754777073907e-51
243,9.670485254121645e-52
244,-1.694784476370359e-52
245,3.148841903864381e-53
246,-6.399671901860995e-54
247,1.212358258675187e-54
248,-2.1516291305417033e-55
249,3.811182746149583e-56
250,-6.75399474001193e-57
251,1.206070489287844e-57
252,-2.412140978575691e-58
