,0
0,4.4223332584010095e-16
1,4.2359770373967365e-16
2,4.047440464986669e-16
3,3.863725201012053e-16
4,3.6848188954180013e-16
5,3.5107110179624624e-16
6,3.341388406847833e-16
7,3.1768333018847983e-16
8,3.017025387465926e-16
9,2.8619364940515737e-16
10,2.7115433264790874e-16
11,2.565822401621459e-16
12,2.424743167834644e-16
13,2.2882717424781603e-16
14,2.1563610041391448e-16
15,2.028989808558278e-16
16,1.906117230139873e-16
17,1.787701530243959e-16
18,1.6736698943970032e-16
19,1.5640147381153585e-16
20,1.4586788508810144e-16
21,1.3575852004779327e-16
22,1.2606964953332982e-16
23,1.1679785152489104e-16
24,1.0793201896129778e-16
25,9.94696010363183e-17
26,9.140705532513179e-17
27,8.374044479935338e-17
28,7.64483044322448e-17
29,6.952019047142589e-17
30,6.296820352509826e-17
31,5.678964446119003e-17
32,5.09411832909769e-17
33,4.5600444999805137e-17
34,4.0577892820448866e-17
35,3.573994357581278e-17
36,3.1594995193178865e-17
37,2.794337327288438e-17
38,2.448405939514214e-17
39,2.1310071026031297e-17
40,1.8495310661746366e-17
41,1.6770725713927807e-17
42,1.5503550904073573e-17
43,1.3833850487821526e-17
44,1.2324650665131522e-17
45,1.0957184985549158e-17
46,9.91895954412073e-18
47,9.160047913673357e-18
48,8.315947100689453e-18
49,7.518762414862955e-18
50,6.7626997724110545e-18
51,6.1357084858972764e-18
52,5.641577966516912e-18
53,5.1675934918351735e-18
54,4.9201878357042435e-18
55,4.5009458071722165e-18
56,4.117115507467698e-18
57,3.802072742298335e-18
58,3.447151368350106e-18
59,3.112478981549785e-18
60,2.867684106022488e-18
61,2.640562312503363e-18
62,2.497102592564062e-18
63,2.3464100218274964e-18
64,2.189389402776319e-18
65,2.0350057836970605e-18
66,1.886083614070247e-18
67,1.7437719078979106e-18
68,1.6197152500285575e-18
69,1.4993724460344773e-18
70,1.3910357591388825e-18
71,1.296379348454739e-18
72,1.2079521516332204e-18
73,1.1218120055141855e-18
74,1.0362305586954588e-18
75,9.5881607992586e-19
76,8.775863638498228e-19
77,8.088216329161613e-19
78,7.497982987618708e-19
79,6.990793778395931e-19
80,6.489117411580557e-19
81,6.041943958920633e-19
82,5.57103560352153e-19
83,5.152713658131732e-19
84,4.747888596756256e-19
85,4.391046674159761e-19
86,4.0465656492311133e-19
87,3.7240755506869835e-19
88,3.4212291742517016e-19
89,3.184244469104017e-19
90,2.9702579444422805e-19
91,2.7192991769354703e-19
92,2.5393030916286885e-19
93,2.32102212671297e-19
94,2.1491964620219335e-19
95,1.9831510629969933e-19
96,1.8153340057128335e-19
97,1.680676967717793e-19
98,1.5592171062052232e-19
99,1.4325826068777882e-19
100,1.3101798691213541e-19
101,1.222775337777136e-19
102,1.1291669728332962e-19
103,1.0451426982429064e-19
104,9.814700300055672e-20
105,8.963833433134811e-20
106,8.306354225947936e-20
107,7.675748734973973e-20
108,7.087838257064734e-20
109,6.540032548674345e-20
110,6.155110248570846e-20
111,5.717967977666917e-20
112,5.3255092800087034e-20
113,4.935650731100233e-20
114,4.5707315292874086e-20
115,4.2417149612124197e-20
116,3.984946043125736e-20
117,3.671558738522267e-20
118,3.458280812461813e-20
119,3.1906159795614534e-20
120,3.010869744048983e-20
121,2.847719472102925e-20
122,2.6516454869095887e-20
123,2.4866412639224838e-20
124,2.3309205139992372e-20
125,2.1828591906893875e-20
126,2.0510374902221406e-20
127,1.9409681996696277e-20
128,1.8150250878066663e-20
129,1.7225418641472928e-20
130,1.6114417569050482e-20
131,1.5305700736898573e-20
132,1.4253341202099408e-20
133,1.3357360462468993e-20
134,1.2617617468417848e-20
135,1.1927217833654278e-20
136,1.1341361300597044e-20
137,1.08206003192932e-20
138,1.0207261284210616e-20
139,9.76368301739844e-21
140,9.215766930415439e-21
141,8.780172977101532e-21
142,8.35843058652538e-21
143,7.94681250396229e-21
144,7.598075881951658e-21
145,7.286299773651336e-21
146,6.933980368829151e-21
147,6.5821574330993195e-21
148,6.221465085577473e-21
149,5.9725453582285486e-21
150,5.640361164740089e-21
151,5.4487437194642824e-21
152,5.1659116404783785e-21
153,4.969099308385056e-21
154,4.746727767421841e-21
155,4.527830618397078e-21
156,4.296765420497881e-21
157,4.123447105048424e-21
158,3.930474936771496e-21
159,3.790643890963578e-21
160,3.6187808156931246e-21
161,3.481302624122538e-21
162,3.313629684273497e-21
163,3.194452521984093e-21
164,3.0400724463086653e-21
165,2.905294319878012e-21
166,2.7882877960595854e-21
167,2.6716665446885724e-21
168,2.5690284916927752e-21
169,2.46818970057183e-21
170,2.3824840219700274e-21
171,2.293500031146539e-21
172,2.2171329454379895e-21
173,2.1251656933686713e-21
174,2.10394422857169e-21
175,2.035532118800611e-21
176,1.943366923034016e-21
177,1.8870805755137786e-21
178,1.8189220766398207e-21
179,1.757221897267563e-21
180,1.7002433496628045e-21
181,1.6461087623322443e-21
182,1.5888484894680815e-21
183,1.541361880094465e-21
184,1.4817925939420639e-21
185,1.441526791778748e-21
186,1.3995314232321702e-21
187,1.3546078766156289e-21
188,1.3093277503105555e-21
189,1.2668337032505448e-21
190,1.2241951043442236e-21
191,1.1861470705062957e-21
192,1.1443282422363224e-21
193,1.107595422767433e-21
194,1.0740478131208125e-21
