,0
0,-6.3697879421485e-14
1,-6.3697879421485e-14
2,-6.369787942148512e-14
3,1.679017539661358e-14
4,-4.424900934655957e-15
5,1.1662818162728079e-15
6,-3.0696152815529624e-16
7,8.114754424335585e-17
8,-2.107925096491408e-17
9,5.853831859400862e-18
10,-1.2532650204784946e-18
11,6.260279326935046e-19
12,1.3022680168356513e-19
13,2.5714259197390155e-19
14,2.318599825132319e-19
15,2.2902272552680993e-19
16,2.3526540080848206e-19
17,2.2816537951453687e-19
18,2.3895646626805597e-19
19,2.278993768685372e-19
20,2.282220809337905e-19
21,2.417653725140448e-19
22,2.237706468414481e-19
23,2.289998599074483e-19
24,2.4108224162430594e-19
25,2.2241075058133995e-19
26,2.3064552247874936e-19
27,2.3655631162542044e-19
28,2.201380911137379e-19
29,2.4152074259577216e-19
30,2.1696570828557887e-19
31,2.4005294838771376e-19
32,2.199005271953562e-19
33,2.3228790371903217e-19
34,2.2908387701778e-19
35,2.2404427411063006e-19
36,2.290996274009666e-19
37,2.272418188797631e-19
38,2.2846215373897765e-19
39,2.2501601891112284e-19
40,2.2699462944633153e-19
41,2.362813527791173e-19
42,2.1274976229034005e-19
43,2.4024931416463737e-19
44,2.221814647384658e-19
45,2.380410635830613e-19
46,2.3088877721170845e-19
47,2.4678290621020347e-19
48,2.401235210268121e-19
49,2.381665432716969e-19
50,2.501279465207526e-19
51,2.521543989604749e-19
52,2.465168463311601e-19
53,3.306165519153948e-19
54,8.420396045355897e-20
55,3.2741129419623154e-19
56,2.700555393910471e-19
57,2.9948507541389434e-19
58,2.9199542098161104e-19
59,3.0851046336402557e-19
60,3.150165392012619e-19
61,3.6047388335405107e-19
62,2.698328106516541e-19
63,3.8675972694445684e-19
64,3.3175927540607463e-19
65,3.8416974203822047e-19
66,3.759277535798785e-19
67,3.8911807023238846e-19
68,4.0647890869560647e-19
69,4.0268914145936015e-19
70,4.671030677158142e-19
71,3.7008422712618856e-19
72,4.845640149949121e-19
73,4.472026577864995e-19
74,4.783982849402241e-19
75,4.774883484392545e-19
76,4.907166335926761e-19
77,4.865372774175681e-19
78,5.390076568282878e-19
79,4.640148491328978e-19
80,5.359588413056646e-19
81,5.178754724728866e-19
82,5.141958721469299e-19
83,5.302962066953159e-19
84,5.162807248354088e-19
85,5.155289645122097e-19
86,5.159948538169229e-19
87,5.144072670984132e-19
88,4.856952587285251e-19
89,4.959024034701409e-19
90,4.86882103016342e-19
91,4.694406398017173e-19
92,4.631293617707799e-19
93,4.446046093463594e-19
94,4.339218740900618e-19
95,4.1660410582906296e-19
96,3.993832868645655e-19
97,3.9042805623242074e-19
98,3.585914705420897e-19
99,3.5525952430696565e-19
100,3.316867410112344e-19
101,3.1567333381716355e-19
102,2.9943447093776484e-19
