,0
0,1.056720905586362e-17
1,1.047461261958424e-17
2,1.037755621647557e-17
3,1.0279433476939557e-17
4,1.0186748138617535e-17
5,1.0087312140589275e-17
6,9.989051450436073e-18
7,9.888305258653927e-18
8,9.790184683815963e-18
9,9.682674926102328e-18
10,9.583961170104785e-18
11,9.477384664048285e-18
12,9.371886122290648e-18
13,9.266011065315431e-18
14,9.154730970629292e-18
15,9.047537166712045e-18
16,8.934794225155838e-18
17,8.82423696669971e-18
18,8.706692043174998e-18
19,8.59299742308464e-18
20,8.477437768282826e-18
21,8.353100119193304e-18
22,8.236181704692355e-18
23,8.114583562508808e-18
24,7.984317409237903e-18
25,7.862005254343272e-18
26,7.732855188148167e-18
27,7.597906981842351e-18
28,7.469622845595305e-18
29,7.325551568008787e-18
30,7.193295519481926e-18
31,7.043656815789579e-18
32,6.902444044954116e-18
33,6.753701743314974e-18
34,6.602621158530558e-18
35,6.445732958196359e-18
36,6.293782085363625e-18
37,6.147250139539203e-18
38,5.992708845891175e-18
39,5.837070038799187e-18
40,5.681272218574172e-18
41,5.571847509323466e-18
42,5.494139756288173e-18
43,5.369287200253818e-18
44,5.254891886089315e-18
45,5.13294297509027e-18
46,5.034944535036855e-18
47,4.952656033557878e-18
48,4.857109847049321e-18
49,4.760264516648545e-18
50,4.655461977494781e-18
51,4.560393452101043e-18
52,4.4815960457078725e-18
53,4.373009532257882e-18
54,4.3577747038633556e-18
55,4.251615921051627e-18
56,4.165488901266553e-18
57,4.0815902776221715e-18
58,3.9826744646210195e-18
59,3.875907190470697e-18
60,3.790032144088295e-18
61,3.69265488741973e-18
62,3.643990561019859e-18
63,3.567191336236491e-18
64,3.4948642988543915e-18
65,3.4076349723067376e-18
66,3.3202305587976636e-18
67,3.2282731620479e-18
68,3.1392724327234898e-18
69,3.0484302432441572e-18
70,2.947622087546623e-18
71,2.873717964663974e-18
72,2.7780300115569103e-18
73,2.686889341472365e-18
74,2.583868695218838e-18
75,2.484864946730031e-18
76,2.3708506681494253e-18
77,2.268467938446614e-18
78,2.165128997913362e-18
79,2.083892282704162e-18
80,1.9855545464464845e-18
81,1.8958096246962147e-18
82,1.7961473966288317e-18
83,1.6988041196591797e-18
84,1.6011491638389592e-18
85,1.5095803508320128e-18
86,1.4152759218943162e-18
87,1.3214010296714415e-18
88,1.232488674260291e-18
89,1.1569042450870454e-18
90,1.0859950121110698e-18
91,1.0006866633927415e-18
92,9.36434637135888e-19
93,8.568419570613147e-19
94,7.914943390897661e-19
95,7.270057007999837e-19
96,6.602108293233324e-19
97,6.042584095261029e-19
98,5.551015144973428e-19
99,5.009796293120737e-19
100,4.4864314596171925e-19
101,4.107637788433702e-19
102,3.699538362983731e-19
103,3.3322536733299974e-19
104,3.05274284732288e-19
105,2.6802029703385997e-19
106,2.394866350380833e-19
107,2.122450061270274e-19
108,1.8716156260917638e-19
109,1.641995010844341e-19
110,1.4831823054665073e-19
111,1.305952025244074e-19
112,1.1501945459416188e-19
113,1.0008315189271484e-19
114,8.646939713328455e-20
115,7.469698904679016e-20
116,6.579734991207633e-20
117,5.542967484241153e-20
118,4.870923084433153e-20
119,4.0728096100755415e-20
120,3.566719466378799e-20
121,3.1231371916072893e-20
122,2.62295010544937e-20
123,2.2310294541023816e-20
124,1.884833289830931e-20
125,1.5800015269549908e-20
126,1.3299661698305622e-20
127,1.135772036004708e-20
128,9.32391862750986e-21
129,7.958623467963532e-21
130,6.462405352999457e-21
131,5.477344231739054e-21
132,4.320401401064754e-21
133,3.4630816583719825e-21
134,2.8322821154851522e-21
135,2.308841668193833e-21
136,1.9147848762759397e-21
137,1.598361277507625e-21
138,1.2712327975469661e-21
139,1.0633919135142377e-21
140,8.368831123890684e-22
141,6.824804541234242e-22
142,5.506239594052276e-22
143,4.398450161359799e-22
144,3.5874789644562648e-22
145,2.9494240503386377e-22
146,2.3266332231011617e-22
147,1.8019590121471251e-22
148,1.3591004050002363e-22
149,1.1016976503374302e-22
150,8.141293432277339e-23
151,6.772163638763576e-23
152,5.0384424842385224e-23
153,4.0908451150452645e-23
154,3.135530068331825e-23
155,2.3729507655747315e-23
156,1.7300550219725746e-23
157,1.3435840249263284e-23
158,9.921379313548385e-24
159,7.866728492134824e-24
160,5.789221417702446e-24
161,4.465258261351377e-24
162,3.178527819236478e-24
163,2.4636699254543148e-24
164,1.721477518418277e-24
165,1.2395610217111975e-24
166,9.110027689103248e-25
167,6.575023221188131e-25
168,4.849833699589376e-25
169,3.529492456647524e-25
170,2.654199939813703e-25
171,1.9396599661799124e-25
172,1.4595632552857398e-25
173,1.0146693686642696e-25
174,9.377127918748877e-26
175,6.9620168986125e-26
176,4.60762251625215e-26
177,3.55263112407687e-26
178,2.5188544770175034e-26
179,1.827840369237947e-26
180,1.334607708377091e-26
181,9.746704152667625e-27
182,6.880252635546833e-27
183,5.0743231601794916e-27
184,3.390319359319935e-27
185,2.5686051195316053e-27
186,1.8777416677007797e-27
187,1.3588840386649742e-27
188,9.384387458239944e-28
189,6.527880383591751e-28
190,4.44817355361317e-28
191,3.1055992701815604e-28
192,2.045437564627828e-28
193,1.3991259424396887e-28
194,9.675026838727161e-29
195,6.448222931802621e-29
196,4.3480648378331723e-29
197,2.771721073014057e-29
198,1.6990247461336245e-29
199,1.1376428551965267e-29
200,6.824454313189811e-30
201,4.687401644859307e-30
202,2.855103433151575e-30
203,1.8124568981163293e-30
204,1.1436934390384818e-30
205,7.621376873453361e-31
206,4.633558680288004e-31
207,2.746817726350004e-31
208,1.6894675786097807e-31
209,9.470279044583422e-32
210,5.687938113837922e-32
211,3.494442480874582e-32
212,2.0296594834432234e-32
213,1.2226982803105732e-32
214,7.066181521614275e-33
215,3.82864159142471e-33
216,1.996260605914417e-33
217,1.107961594584912e-33
218,5.222128653077307e-34
219,2.5521405567719237e-34
220,1.4539655624094313e-34
221,7.33811033793407e-35
222,3.520623310339079e-35
223,1.4170843780731405e-35
224,6.270516979203929e-36
225,2.812198161321525e-36
226,1.0770731535722497e-36
227,4.6171728487356945e-37
228,1.743593018753643e-37
229,6.692148349095395e-38
230,2.2933787644565006e-38
231,7.119230110342679e-39
232,2.1761431846290478e-39
233,5.611800983304605e-40
234,1.1392609449495546e-40
235,2.0777439668265027e-41
236,3.785472953296784e-42
237,3.482632456653238e-43
238,5.341539645572811e-44
239,-4.928358111242031e-47
240,7.060401060813082e-46
241,-1.761597480329332e-46
242,8.796729260377723e-47
243,-1.040306495178334e-49
244,6.44531307028598e-51
245,-2.294119991213936e-51
246,7.946423232293009e-52
247,-2.624932257238033e-52
248,9.004857604645434e-53
249,-3.1867792142177207e-53
250,1.127031525566086e-53
251,-3.886315605400294e-54
252,7.772631210800592e-55
253,3.109052484320236e-54
