,0
0,1.9584444897778988e-17
1,1.9137919901302623e-17
2,1.8669887741563333e-17
3,1.8087048052622902e-17
4,1.7608778560212893e-17
5,1.7105610219229635e-17
6,1.6609262192116334e-17
7,1.609665220883228e-17
8,1.5669252466393e-17
9,1.5081723928153075e-17
10,1.46631228379254e-17
11,1.417077390187988e-17
12,1.3690048206310654e-17
13,1.3271930356953506e-17
14,1.2725173663430208e-17
15,1.2324065848964134e-17
16,1.1843803198425609e-17
17,1.144789886849452e-17
18,1.0929758708990041e-17
19,1.0534006110255058e-17
20,1.011778342982321e-17
21,9.657456950160485e-18
22,9.243612049752082e-18
23,8.859600121685294e-18
24,8.411921742313705e-18
25,8.017496479536213e-18
26,7.656290182531964e-18
27,7.202822872978684e-18
28,6.885460667987036e-18
29,6.439052415802811e-18
30,6.128861024388164e-18
31,5.7026626128349895e-18
32,5.393522088573543e-18
33,5.011220947033297e-18
34,4.6836404961431694e-18
35,4.346229715246322e-18
36,4.028657425938815e-18
37,3.7420863180651804e-18
38,3.452225560491417e-18
39,3.1837780499866785e-18
40,2.924300780579847e-18
41,2.7533651597216783e-18
42,2.624489241979663e-18
43,2.445328069961028e-18
44,2.2984638924973646e-18
45,2.131041578121803e-18
46,2.014627785740019e-18
47,1.9055160712406115e-18
48,1.797974235168676e-18
49,1.7038362134301335e-18
50,1.5935712788230505e-18
51,1.5083650417665067e-18
52,1.4378841646011918e-18
53,1.3024743521764737e-18
54,1.3568114422909374e-18
55,1.2421874527492382e-18
56,1.1869076842090056e-18
57,1.1178239717762768e-18
58,1.0603931075073583e-18
59,1.001795375829207e-18
60,9.478432367965906e-19
61,8.992932385162648e-19
62,8.715617241452724e-19
63,8.28945882019087e-19
64,8.239591822987888e-19
65,7.680550525792434e-19
66,7.356306634043935e-19
67,7.041613452724699e-19
68,6.686195433571002e-19
69,6.458402616321925e-19
70,5.9680472373838315e-19
71,6.0194972999790205e-19
72,5.5854774048477e-19
73,5.463925552475256e-19
74,5.103485070990657e-19
75,4.836192960197114e-19
76,4.744041197839231e-19
77,3.9918238729661183e-19
78,4.689806730049549e-19
79,3.9844896667773487e-19
80,3.905810515558039e-19
81,3.662025055166082e-19
82,3.646345663783015e-19
83,3.307828576180442e-19
84,3.2191089154597657e-19
85,3.1291631352615022e-19
86,2.8717007426833977e-19
87,2.7856138527914387e-19
88,2.651349702033842e-19
89,2.6092115152734236e-19
90,2.4046224972542737e-19
