,0
0,1.8592672458307453e-17
1,1.8159391943822254e-17
2,1.7705242195056325e-17
3,1.714207010171933e-17
4,1.66804615242256e-17
5,1.619573528878777e-17
6,1.571721721512651e-17
7,1.5222805927941355e-17
8,1.4812781511099878e-17
9,1.4244493985253775e-17
10,1.3842920310466105e-17
11,1.3369110130705843e-17
12,1.2906417139887246e-17
13,1.2506168440966663e-17
14,1.197816107416719e-17
15,1.1594662161335295e-17
16,1.1132901996542983e-17
17,1.0754761638335012e-17
18,1.0255521121044373e-17
19,9.87757027286155e-18
20,9.479241989544845e-18
21,9.038211601345768e-18
22,8.64185933099766e-18
23,8.275947090483496e-18
24,7.847642922725603e-18
25,7.470708354916848e-18
26,7.127927187893802e-18
27,6.693525453161939e-18
28,6.393614623979174e-18
29,5.967027386389787e-18
30,5.674112808671919e-18
31,5.267750416963029e-18
32,4.97643663794679e-18
33,4.612906069379566e-18
34,4.303887948827789e-18
35,3.985178344269377e-18
36,3.6854358186379125e-18
37,3.415601237056761e-18
38,3.142979397434866e-18
39,2.8913049212374845e-18
40,2.6481579238156818e-18
41,2.4885445621807215e-18
42,2.3671735249422956e-18
43,2.2004874849576196e-18
44,2.0642348808088026e-18
45,1.9081460713360043e-18
46,1.800328951709827e-18
47,1.698506694179379e-18
48,1.5989894614193205e-18
49,1.5125715776109912e-18
50,1.4105404243126081e-18
51,1.332423725356123e-18
52,1.2673611977924954e-18
53,1.1410803523778813e-18
54,1.1939392747725614e-18
55,1.0875741378644496e-18
56,1.0373485246181503e-18
57,9.73505884847005e-19
58,9.215209172717313e-19
59,8.686135121594235e-19
60,8.188714616951831e-19
61,7.758588013336356e-19
62,7.490591490372377e-19
63,7.107123647061079e-19
64,7.08223981074476e-19
65,6.563289630745919e-19
66,6.272668851073964e-19
67,5.991886624947327e-19
68,5.669443608159324e-19
69,5.469067779475774e-19
70,5.024062149427138e-19
71,5.079736536687964e-19
72,4.684475534990949e-19
73,4.587021147207805e-19
74,4.2545314656188715e-19
75,4.027788898409126e-19
76,3.913985397022276e-19
77,3.3812798613554586e-19
78,3.780136175808137e-19
79,3.3042504879491056e-19
80,3.1955457001697993e-19
81,2.9882639713979204e-19
82,2.9876288088289974e-19
83,2.675373573070106e-19
84,2.605809456339493e-19
85,2.534414782494836e-19
