,0
0,1.4936727148248695e-16
1,1.4666060818167876e-16
2,1.4384914726025266e-16
3,1.410334022444662e-16
4,1.3821283521171744e-16
5,1.3538749118983072e-16
6,1.3255800699817145e-16
7,1.2972441954429336e-16
8,1.2688653333036686e-16
9,1.2404484814782335e-16
10,1.2119962274045937e-16
11,1.1835036877409524e-16
12,1.1549782350013028e-16
13,1.1264154163946702e-16
14,1.0978160481012806e-16
15,1.0691857550346025e-16
16,1.0405203475299936e-16
17,1.0118205482605472e-16
18,9.830791520528909e-17
19,9.543097670002133e-17
20,9.254981567716974e-17
21,8.966454622543945e-17
22,8.677529155194858e-17
23,8.388122422424754e-17
24,8.098160264876067e-17
25,7.80767701986626e-17
26,7.516598711991103e-17
27,7.225074205825234e-17
28,6.932390487910059e-17
29,6.63820461977525e-17
30,6.34319558200336e-17
31,6.047372083299117e-17
32,5.748848083983966e-17
33,5.4573640357343355e-17
34,5.1637479883646644e-17
35,4.8591753314910544e-17
36,4.5775248762878025e-17
37,4.31011390575353e-17
38,4.0363814828642964e-17
39,3.763634579083299e-17
40,3.500114010236665e-17
41,3.326398883488285e-17
42,3.191668924017329e-17
43,3.003485712820764e-17
44,2.821148825005483e-17
45,2.6437585420167374e-17
46,2.4999032585818842e-17
47,2.388892776159441e-17
48,2.2587811685409913e-17
49,2.1284245162807197e-17
50,1.9969195460860523e-17
51,1.8810992669836327e-17
52,1.7847589516846777e-17
53,1.6878197893714667e-17
54,1.6351651007368802e-17
55,1.5421157317736964e-17
56,1.452635353626155e-17
57,1.3756233254264367e-17
58,1.2845621596321249e-17
59,1.193907282770635e-17
60,1.1242481999396503e-17
61,1.0568698988304823e-17
62,1.0127644509767772e-17
63,9.650334230803299e-18
64,9.137133244648129e-18
65,8.614707610842301e-18
66,8.093290809063686e-18
67,7.57743765219219e-18
68,7.11270160659208e-18
69,6.647409316121398e-18
70,6.216061990652096e-18
71,5.8285636870890164e-18
72,5.4565425308975896e-18
73,5.0852892127278865e-18
74,4.706945535309022e-18
75,4.356623806841876e-18
76,3.980560939513746e-18
77,3.655141473592142e-18
78,3.371803995697297e-18
79,3.123840284811519e-18
80,2.8749528963541594e-18
81,2.6507466651017297e-18
82,2.4122197517824063e-18
83,2.198370693369325e-18
84,1.990307665765132e-18
85,1.8061306173015475e-18
86,1.6279460879508599e-18
87,1.4614727698177295e-18
88,1.3056327000372868e-18
89,1.1842372408934164e-18
90,1.0753523828788822e-18
91,9.489527539409232e-19
92,8.593708941423381e-19
93,7.523606898344305e-19
94,6.696154945959495e-19
95,5.912629304186723e-19
96,5.139279050705562e-19
97,4.535240205448354e-19
98,4.0054773344425226e-19
99,3.4691829871566976e-19
100,2.9697165687753525e-19
101,2.6259668025735303e-19
102,2.271286629222943e-19
103,1.966063832770564e-19
104,1.744010365076642e-19
105,1.4608705289319163e-19
106,1.253895136789633e-19
107,1.0659319965196265e-19
108,9.008756945992928e-20
109,7.566552064293175e-20
110,6.612815256682086e-20
111,5.59292741388205e-20
112,4.738478268348581e-20
113,3.950443840158769e-20
114,3.2701112307649044e-20
115,2.7068554076208497e-20
116,2.3018845299097598e-20
117,1.8499440145363297e-20
118,1.5701713883902657e-20
119,1.253500275471221e-20
120,1.0598409168000995e-20
121,8.986899435270964e-21
122,7.236027273939834e-21
123,5.9212991793009184e-21
124,4.813023257487117e-21
125,3.878041975813033e-21
126,3.141860563873058e-21
127,2.5956960743997334e-21
128,2.045059361118561e-21
129,1.690471732963199e-21
130,1.317591021179893e-21
131,1.0818858467650846e-21
132,8.174610810037969e-22
133,6.285250379904017e-22
134,4.960082674711148e-22
135,3.902983779277043e-22
136,3.1337338236553984e-22
137,2.5422718563811e-22
138,1.9487003604540364e-22
139,1.584712834953675e-22
140,1.2034583553122948e-22
141,9.505634965696282e-23
142,7.439099171444044e-23
143,5.752998752131899e-23
