,0
0,1.473749003356887e-16
1,1.4239394358494909e-16
2,1.3729638397144284e-16
3,1.3228606251153225e-16
4,1.2736660691194212e-16
5,1.225288936240892e-16
6,1.177772513219764e-16
7,1.1311490762756764e-16
8,1.0853386389838538e-16
9,1.0404635689018959e-16
10,9.965374816833533e-17
11,9.534371175398999e-17
12,9.112740772109885e-17
13,8.699544961860151e-17
14,8.295923462254048e-17
15,7.901924723785839e-17
16,7.516667773691642e-17
17,7.14025806600955e-17
18,6.773383542547935e-17
19,6.416441115361993e-17
20,6.06787864224416e-17
21,5.728870481302094e-17
22,5.3996820178006625e-17
23,5.079257169081861e-17
24,4.768174583219409e-17
25,4.467002455147421e-17
26,4.1744509881807704e-17
27,3.891895199529252e-17
28,3.6182331425738867e-17
29,3.3532897671565594e-17
30,3.097921828610961e-17
31,2.852079696464881e-17
32,2.61455972817552e-17
33,2.392475351804764e-17
34,2.1793503085079493e-17
35,1.9685764793411544e-17
36,1.7834210187505952e-17
37,1.6163945141332516e-17
38,1.45417679792008e-17
39,1.3011773669180523e-17
40,1.1614346529037521e-17
41,1.0737881617703367e-17
42,1.0083120241071812e-17
43,9.204894147448199e-18
44,8.39074346733617e-18
45,7.634328642270199e-18
46,7.047799296059842e-18
47,6.6120819706221666e-18
48,6.120870372475004e-18
49,5.646224934264289e-18
50,5.1856917250019415e-18
51,4.795855824088325e-18
52,4.481939757762941e-18
53,4.181928586497053e-18
54,4.021549104298014e-18
55,3.740652095838842e-18
56,3.482420368897467e-18
57,3.2672022832776804e-18
58,3.021239392756957e-18
59,2.7833498457279057e-18
60,2.6061895113183488e-18
61,2.4398630070835807e-18
62,2.3334051555204312e-18
63,2.2208480502575127e-18
64,2.1007311108193997e-18
65,1.9802372124485654e-18
66,1.8636999550846127e-18
67,1.7502814881224534e-18
68,1.6500889175060807e-18
69,1.551246415623995e-18
70,1.4618523340888962e-18
71,1.3820570785213906e-18
72,1.305668390890121e-18
73,1.2306054805943553e-18
74,1.1547508697728127e-18
75,1.0860535296822847e-18
76,1.0118570442846236e-18
77,9.505803615048984e-19
78,8.950987434331235e-19
79,8.444774219139308e-19
80,7.962203420460023e-19
81,7.525048900236114e-19
82,7.052875714330881e-19
83,6.627363770509649e-19
84,6.215838437019351e-19
85,5.839976118025868e-19
86,5.474398802053184e-19
87,5.130261752229726e-19
88,4.798494574315462e-19
89,4.531226583706409e-19
90,4.287822604321031e-19
91,3.9989517777531336e-19
92,3.7881550967381674e-19
93,3.528469652972645e-19
94,3.320004520316034e-19
95,3.116983199215302e-19
96,2.904947330561808e-19
97,2.735699586064466e-19
98,2.5795959971884404e-19
99,2.4101535922841174e-19
100,2.245461436910733e-19
101,2.1259291072698803e-19
102,1.9958096946784516e-19
103,1.8767818430925457e-19
104,1.7854492736274166e-19
105,1.6613257163815872e-19
106,1.5636249770735699e-19
107,1.4681937841010328e-19
108,1.3777954889023353e-19
109,1.2920584830209512e-19
110,1.2309477585423521e-19
111,1.1604134747951448e-19
112,1.0965452989478117e-19
113,1.0319432771376834e-19
114,9.699317443471669e-20
115,9.132667489260153e-20
116,8.687908236191525e-20
117,8.121296138197511e-20
118,7.781349955560252e-20
119,7.290666716191149e-20
120,6.917137800333768e-20
121,6.6240672617725e-20
122,6.250284340239607e-20
123,5.935212194817892e-20
124,5.63308962376373e-20
125,5.3424784510853465e-20
126,5.08046597561578e-20
127,4.859267575789326e-20
128,4.603212798067747e-20
129,4.4130502447515217e-20
130,4.18205185341326e-20
131,4.012032014807117e-20
132,3.7882442218871634e-20
133,3.595278915784927e-20
134,3.434139975506051e-20
135,3.28215707293572e-20
136,3.1519003376708726e-20
137,3.0350615379982243e-20
138,2.896090904596003e-20
139,2.794613719101899e-20
140,2.6680592557552828e-20
141,2.5664408839778827e-20
142,2.4671428451921683e-20
143,2.3693115408530487e-20
144,2.2856749508772856e-20
145,2.2102789062962525e-20
146,2.1243573394945274e-20
147,2.0376399799916835e-20
148,1.9481464327934632e-20
149,1.8847617634952915e-20
150,1.8041703841633426e-20
151,1.7434288140446123e-20
152,1.720417725617192e-20
153,1.665100244468214e-20
154,1.5564379553628342e-20
155,1.5122260783233327e-20
156,1.4467798624924176e-20
