,0
0,1.3747228544035577e-16
1,1.3274477346537057e-16
2,1.2790920848719275e-16
3,1.231591869511661e-16
4,1.1849790135035194e-16
5,1.1391635405055988e-16
6,1.0941866729520713e-16
7,1.0500805764101688e-16
8,1.0067654746063016e-16
9,9.643620316209632e-17
10,9.228835792423091e-17
11,8.822075502032603e-17
12,8.424436081461557e-17
13,8.034984919152258e-17
14,7.654850201531416e-17
15,7.284073970487503e-17
16,6.921776738846381e-17
17,6.568057244797504e-17
18,6.22360039320564e-17
19,5.888787066214021e-17
20,5.56208131798972e-17
21,5.244635473258954e-17
22,4.936712393096588e-17
23,4.6372690947514477e-17
24,4.346862255435797e-17
25,4.0660573973120777e-17
26,3.793573642375147e-17
27,3.5307496476512647e-17
28,3.276534599894781e-17
29,3.030756747003744e-17
30,2.794219951291377e-17
31,2.566863689535031e-17
32,2.3475812019135334e-17
33,2.1429011643889165e-17
34,1.9468806103729757e-17
35,1.7533985113047233e-17
36,1.583813408317342e-17
37,1.4311817635682678e-17
38,1.2832985483161913e-17
39,1.1441723329832859e-17
40,1.0174386097256061e-17
41,9.381430059286047e-18
42,8.790239517152067e-18
43,7.999000141272909e-18
44,7.267069516562642e-18
45,6.58871662526527e-18
46,6.064041539098171e-18
47,5.675151905097071e-18
48,5.237789249206612e-18
49,4.816039335963628e-18
50,4.407782196243451e-18
51,4.063060129139048e-18
52,3.786059034118646e-18
53,3.522385735180487e-18
54,3.381562496284502e-18
55,3.134978977687316e-18
56,2.9090831531883002e-18
57,2.721307610928833e-18
58,2.507322386822219e-18
59,2.300816399624841e-18
60,2.1474775191045426e-18
61,2.0038790826099963e-18
62,1.912206138055252e-18
63,1.8155834264974797e-18
64,1.7124690403224927e-18
65,1.6091908784997022e-18
66,1.5097108221815302e-18
67,1.4130977647621438e-18
68,1.3279874122988481e-18
69,1.2442299380408258e-18
70,1.1687438801992133e-18
71,1.101487804874671e-18
72,1.0372157694002016e-18
73,9.74230870899224e-19
74,9.10764752622825e-19
