,0
0,6.760644014002778e-16
1,6.570252453808633e-16
2,6.374410820355406e-16
3,6.180252795114265e-16
4,5.987832749045472e-16
5,5.79719456766384e-16
6,5.608381865960541e-16
7,5.421438843547766e-16
8,5.236409580108347e-16
9,5.053320618898049e-16
10,4.872240234521164e-16
11,4.693206802398005e-16
12,4.516264314165859e-16
13,4.3414551939088976e-16
14,4.1687966558681553e-16
15,3.9983775433617297e-16
16,3.830229524737068e-16
17,3.6643982306202506e-16
18,3.5008747904574676e-16
19,3.339786134111155e-16
20,3.1811539157916663e-16
21,3.024974405822775e-16
22,2.871333030617493e-16
23,2.72030930917478e-16
24,2.571846649191523e-16
25,2.4260663875482785e-16
26,2.283059966428471e-16
27,2.1429068055275592e-16
28,2.0054119295239618e-16
29,1.8705031993801875e-16
30,1.7386275036534473e-16
31,1.6099091378055597e-16
32,1.483667614467118e-16
33,1.364083229033771e-16
34,1.2473518540627723e-16
35,1.1303893402437956e-16
36,1.0260864877189469e-16
37,9.305810938006012e-17
38,8.364955841911925e-17
39,7.465909456842987e-17
40,6.635132761614693e-17
41,6.108269647972922e-17
42,5.711496860787676e-17
43,5.1749772008025966e-17
44,4.675208513677607e-17
45,4.2086539623558895e-17
46,3.8448239921551774e-17
47,3.573150251140715e-17
48,3.2649566746534916e-17
49,2.9676591037006366e-17
50,2.6796095910924933e-17
51,2.4359495758188858e-17
52,2.2406701103366562e-17
53,2.050604918976247e-17
54,1.9504025102606444e-17
55,1.7787246281972278e-17
56,1.6195581713779363e-17
57,1.4875175903177883e-17
58,1.3373453826723926e-17
59,1.1944136592453496e-17
60,1.0891020603201645e-17
61,9.909151803393904e-18
62,9.28708379244656e-18
63,8.632584716986779e-18
64,7.950003879172662e-18
65,7.278300294161747e-18
66,6.63094388431948e-18
67,6.013814422338872e-18
68,5.477812688196219e-18
69,4.960543647188246e-18
70,4.4979408437815165e-18
71,4.097119336132165e-18
72,3.7257725233193356e-18
73,3.3677687220278976e-18
74,3.016405838087696e-18
75,2.7032737553408528e-18
76,2.3805408198979595e-18
77,2.1128261606639102e-18
78,1.8883613177746584e-18
79,1.6988715382105219e-18
80,1.5154897338457019e-18
81,1.3559441741616033e-18
82,1.1924615286745284e-18
83,1.0514658893791402e-18
84,9.194818884722792e-19
85,8.071474738804993e-19
86,7.026024885594757e-19
87,6.08694998178662e-19
88,5.2432485633035325e-19
89,4.611072267945607e-19
90,4.062875212152374e-19
91,3.450290893549307e-19
92,3.0323917411398747e-19
93,2.5519797666813724e-19
94,2.195343750768698e-19
95,1.8703317377288167e-19
96,1.5626149230820323e-19
97,1.3317511121861484e-19
98,1.1367905806753228e-19
99,9.472357844879116e-20
100,7.781459502374967e-20
101,6.663375202395914e-20
102,5.552367366068848e-20
103,4.633886020218241e-20
104,3.989316100206251e-20
105,3.199414209764416e-20
106,2.6466268409829257e-20
107,2.16477903612076e-20
108,1.759097564801824e-20
109,1.4195653219203746e-20
110,1.2034499602886006e-20
111,9.80684485723119e-21
112,8.012931574105275e-21
113,6.4246672002749376e-21
114,5.111064104535286e-21
115,4.0690240566446176e-21
116,3.3483790384518407e-21
117,2.576869199041523e-21
118,2.118264931431352e-21
119,1.6200432382866232e-21
120,1.3273733616911458e-21
121,1.0919085501627818e-21
122,8.455207135989066e-22
123,6.67813068414277e-22
124,5.237101914327026e-22
125,4.0681650052050943e-22
126,3.182863208218342e-22
127,2.549012719072679e-22
128,1.933628331609812e-22
129,1.5513748955525997e-22
130,1.1641487100015564e-22
131,9.279455782636644e-23
132,6.730490661046564e-23
133,4.983918643003005e-23
134,3.80501146374868e-23
135,2.8975043010006215e-23
136,2.2588834717927526e-23
137,1.7825812428761356e-23
138,1.320438373258497e-23
139,1.0458360457853904e-23
140,7.676585699960955e-24
141,5.891053263053549e-24
142,4.477357831400023e-24
143,3.35984617263347e-24
144,2.5904749985543754e-24
145,2.0234277161753736e-24
146,1.50254764532785e-24
147,1.092004805865012e-24
148,7.671905226764283e-25
149,5.910438993945753e-25
150,4.0707717122490223e-25
151,3.2361915614415243e-25
152,2.257445597859247e-25
153,1.7432938054239635e-25
154,1.2646177046538262e-25
155,9.024534353359815e-26
156,6.158632453896511e-26
157,4.534279145636534e-26
158,3.1537903289811884e-26
159,2.385437739774305e-26
160,1.657885742835733e-26
161,1.217021776519885e-26
162,8.147304963709012e-27
163,6.0165168465739494e-27
164,3.963133218005866e-27
165,2.6836229656765905e-27
166,1.872481665766894e-27
167,1.2795677641158795e-27
168,8.970258625682269e-28
169,6.201001580808716e-28
170,4.453128474877007e-28
171,3.099946641115625e-28
172,2.2348317579777316e-28
173,1.4741749540483164e-28
174,1.334328606822193e-28
175,9.580022046627781e-29
176,5.973256363822036e-29
177,4.4050595079356437e-29
178,2.992565576186134e-29
179,2.0706094862798315e-29
180,1.449078449679084e-29
181,1.0157331295650236e-29
182,6.84625891208393e-30
183,4.8587922772896904e-30
184,3.0914581485978112e-30
185,2.243516726241063e-30
186,1.5838151292970846e-30
187,1.1022690004833594e-30
188,7.294320427510846e-31
189,4.857493074078725e-31
190,3.165647243729241e-31
191,2.1207333751361352e-31
192,1.3358412051967466e-31
193,8.720029306733562e-32
194,5.80015678557141e-32
195,3.7034333941725077e-32
196,2.3942080583935754e-32
197,1.4641145400180367e-32
198,8.515490101147651e-33
199,5.4619798850972084e-33
200,3.129415679562878e-33
201,2.0528337344403935e-33
202,1.2036688236312439e-33
203,7.267086494891768e-34
204,4.393922410044671e-34
205,2.814479408288172e-34
206,1.6491449098747073e-34
207,9.302409481728097e-35
208,5.485344561951514e-35
209,2.942607759070348e-35
210,1.6734384480987978e-35
211,9.902086355757584e-36
212,5.510519729665517e-36
213,3.1727754239783956e-36
214,1.766178825804728e-36
215,9.171187520654505e-37
216,4.5402362718827215e-37
217,2.4064661257991014e-37
218,1.0934046568175953e-37
219,4.97496540216138e-38
220,2.698050285600261e-38
221,1.3184773330417413e-38
222,6.055773151953834e-39
223,2.3415504857997283e-39
224,9.527285918316837e-40
225,4.114669512404585e-40
226,1.5072348060860378e-40
227,5.970901252464403e-41
228,2.1913697565942902e-41
229,7.822542118486995e-42
230,2.5988908496516466e-42
231,7.604647964392898e-43
232,2.180005045224296e-43
233,5.499686408989595e-44
234,1.0872907091848804e-44
235,1.8300671503881297e-45
236,3.081546126005369e-46
237,3.5566205078977886e-47
238,3.063860297017334e-48
239,2.5884569921462675e-49
240,8.492210156516756e-51
241,6.105411660777491e-53
242,1.3286610010374304e-55
243,1.3013461793495432e-55
244,8.163084827934782e-60
245,1.4199070448155021e-176
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
