,0
0,-1729.5937629057012
1,-1675.2123483274886
2,-1619.4590892775504
3,-1564.376850609166
4,-1509.9829072794948
5,-1456.291131594934
6,-1403.3155150518467
7,-1351.0701211344906
8,-1299.568911249855
9,-1248.8208312456413
10,-1198.8467182866652
11,-1149.6585372243344
12,-1101.2700367770353
13,-1053.6944029512451
14,-1006.9379166174662
15,-961.026408702279
16,-915.9698159356343
17,-871.7819591817739
18,-828.4620776466387
19,-786.0456443085855
20,-744.5396976397238
21,-703.9448566070843
22,-664.2854635678822
23,-625.58332882318
24,-587.8257055454781
25,-551.045894549095
26,-515.2683324393022
27,-480.51443938985926
28,-446.73854667363094
29,-413.92650948910244
30,-382.19077282924883
31,-351.5624696609974
32,-321.8850668629786
33,-294.1307682379182
34,-267.405077282527
35,-241.02431697439002
36,-217.86799399126915
37,-197.00118392554376
38,-176.79191064354464
39,-157.83819271538522
40,-140.67045019731117
41,-129.97433116309634
42,-122.02642919657251
43,-111.4377942666442
44,-101.75365909979627
45,-92.88542049380699
46,-86.09726253309545
47,-81.10825108461299
48,-75.53863623751764
49,-70.26501309684659
50,-65.25788499555887
51,-61.109680292044686
52,-57.8490342462467
53,-54.73573819349316
54,-53.12058326842792
55,-50.39870892430269
56,-47.93151758788571
57,-45.930636830441955
58,-43.711788827406735
59,-41.663651574581905
60,-40.200083214065614
61,-38.875269816116955
62,-38.058224737674514
63,-37.2193255331337
64,-36.36960596803096
65,-35.56162155809538
66,-34.813076858043424
67,-34.131181663899945
68,-33.56796169689723
69,-33.05419554350211
70,-32.62360932931639
71,-32.276335566618876
72,-31.97954520773476
73,-31.720082057338857
74,-31.49561734884516
75,-31.325769441304384
76,-31.186974814648966
77,-31.106089297861004
78,-31.067723650459758
79,-31.060779162159946
80,-31.080975539885728
81,-31.1246876256178
82,-31.20052134408736
83,-31.297200464715015
84,-31.42068287849489
85,-31.55739704701287
86,-31.71775323397714
87,-31.896490563746465
88,-32.093158606192
89,-32.26922562812985
90,-32.447170181860116
91,-32.68147943634737
92,-32.86878900318094
93,-33.12025005821964
94,-33.33947091159599
95,-33.57129498434761
96,-33.82824297202378
97,-34.05302815954571
98,-34.27140741103011
99,-34.51726798965662
100,-34.77464453084573
101,-34.97171790356124
102,-35.19643973051651
103,-35.41154892434007
104,-35.5838910701578
105,-35.828542350996756
106,-36.03047792955878
107,-36.23641738103761
108,-36.44085511676606
109,-36.643814034510505
110,-36.79464486974077
111,-36.97529709307199
112,-37.147078093714015
113,-37.32788723595054
114,-37.50777465543233
115,-37.68005424061989
116,-37.822080510023014
117,-38.00564360391594
118,-38.13783838327574
119,-38.31196583440829
120,-38.43655836080481
121,-38.55487704878839
122,-38.704434729204934
123,-38.837297688683456
124,-38.96930375521771
125,-39.10146594653784
126,-39.22525578132942
127,-39.33357883211276
128,-39.463716549344234
129,-39.56391797900226
130,-39.69008260062777
131,-39.78630805958589
132,-39.91787300500931
133,-40.03602115799736
134,-40.138385226373266
135,-40.238329400299534
136,-40.326793133530394
137,-40.408500697145705
138,-40.50883297703752
139,-40.58442701767109
140,-40.681679565011244
141,-40.76226161467046
142,-40.84335746096597
143,-40.92568788669603
144,-40.99812618711853
145,-41.06514650748036
146,-41.14369779637122
147,-41.225378885623535
148,-41.31275208874358
149,-41.3753966815256
150,-41.462283677915195
151,-41.51428569109307
152,-41.59374041200305
153,-41.649204667232105
154,-41.716548592173154
155,-41.78520517801094
156,-41.860500437035576
157,-41.91912502161623
158,-41.986768039241575
159,-42.03744756860421
160,-42.10176661918486
161,-42.15501308509414
162,-42.22229944083912
163,-42.27178342209905
164,-42.33808974621179
165,-42.39823849275567
166,-42.45231539166351
167,-42.50805689764289
168,-42.55874977319583
169,-42.61012976636816
170,-42.655112792994075
171,-42.70321949012444
172,-42.7457091093096
173,-42.798436499065794
174,-42.81086147804052
175,-42.85162054499706
176,-42.90829878370903
177,-42.94396039374767
178,-42.988295583327364
179,-43.029601265313616
180,-43.06879219361347
181,-43.107005617957796
182,-43.14851820456566
183,-43.18384476375524
184,-43.229419169309644
185,-43.26108550647856
186,-43.294870537445185
187,-43.32935720094754
188,-43.36781551285959
189,-43.404874938295215
190,-43.44306749502216
191,-43.47804874797594
192,-43.51753559180952
193,-43.55317646450588
194,-43.586558372652895
195,-43.62253114149381
196,-43.65676926844331
197,-43.69452905308324
198,-43.735147524992634
199,-43.76768350596095
200,-43.80757319828547
201,-43.837114572322434
202,-43.87373848288863
203,-43.90758141687535
204,-43.94060087625314
205,-43.96924934654874
206,-44.0029255371177
207,-44.03817983366963
208,-44.06997766667615
209,-44.10661042116334
210,-44.13903539631626
211,-44.1685422584382
212,-44.20079814865675
213,-44.23052746365616
214,-44.261405365172145
215,-44.295160655756206
216,-44.33048138494688
217,-44.361611998504806
218,-44.399342203888075
219,-44.43599096894696
