,0
0,-35.441649887326506
1,-35.4854621579059
2,-35.531800988985125
3,-35.579087453401364
4,-35.6273568409902
5,-35.67664523323755
6,-35.72699089467115
7,-35.77843521384689
8,-35.8310223446112
9,-35.884801119655826
10,-35.93982201936239
11,-35.996137484772284
12,-36.05380572289023
13,-36.11288979334619
14,-36.17346259307005
15,-36.235590601529864
16,-36.29935285132206
17,-36.364834690010206
18,-36.43214609647846
19,-36.50136767318662
20,-36.572614941925345
21,-36.64602910997153
22,-36.72173672597389
23,-36.79987051572368
24,-36.88064408431357
25,-36.96421827097371
26,-37.05077454813128
27,-37.14051184144549
28,-37.23388314098058
29,-37.331285356184324
30,-37.43282931678128
31,-37.538826694750774
32,-37.65043663892075
33,-37.76423971228957
34,-37.88422189104021
35,-38.01484267535306
36,-38.141762364702004
37,-38.26830797170932
38,-38.4045803848619
39,-38.547865441224424
40,-38.6941878221235
41,-38.79536574091368
42,-38.876622517027826
43,-38.994552774563246
44,-39.11419798234852
45,-39.23609959954252
46,-39.33935831108337
47,-39.42197230986286
48,-39.522378293621244
49,-39.627116565467546
50,-39.73734658109535
51,-39.83861957968236
52,-39.926067707603316
53,-40.01752764251142
54,-40.06869259265493
55,-40.16161185600468
56,-40.25466971864127
57,-40.337832295930376
58,-40.44028394117808
59,-40.54714002909348
60,-40.632906750298545
61,-40.71935815871282
62,-40.77791855560119
63,-40.84320791901163
64,-40.91590624289536
65,-40.99269398962809
66,-41.072548692014706
67,-41.1550414894712
68,-41.23269536920646
69,-41.31398859774751
70,-41.393015876661046
71,-41.46733619166243
72,-41.541887030472914
73,-41.62001089261349
74,-41.70386673290478
75,-41.78598645074952
76,-41.87970431053521
77,-41.966176139965775
78,-42.04651243287262
79,-42.12087209306761
80,-42.19999716351153
81,-42.27593595322662
82,-42.36233106382931
83,-42.445508730126654
84,-42.53281089569425
85,-42.61627445976779
86,-42.70363925337839
87,-42.79258076658445
88,-42.883544746406244
89,-42.960634420792786
90,-43.03541759353759
91,-43.13045485474047
92,-43.20428326483069
93,-43.301335410727724
94,-43.38450706958764
95,-43.47160599046233
96,-43.56754629859916
97,-43.65131672774894
98,-43.73301924141251
99,-43.82542224947565
100,-43.92303986043513
101,-43.99863610489811
102,-44.0859987412937
103,-44.170975831258325
104,-44.24017068050354
105,-44.34018754609536
106,-44.424383673393514
107,-44.511819768414426
108,-44.600242857304785
109,-44.68968613506801
110,-44.757259239982815
111,-44.839470032730134
112,-44.91896919715585
113,-45.004150361842264
114,-45.09037765440393
115,-45.174402825733274
116,-45.244759758403056
117,-45.33721985983518
118,-45.40489737921868
119,-45.49604430344541
120,-45.5618596545213
121,-45.62518685568778
122,-45.706410993641825
123,-45.779690378158826
124,-45.85357467072225
125,-45.92868074791636
126,-46.00008596193236
127,-46.063414107242274
128,-46.14056230022241
129,-46.200798715641255
130,-46.27770952951979
131,-46.337202216223666
132,-46.41964756574721
133,-46.494931401068776
134,-46.5611094274867
135,-46.626576856113665
136,-46.68526505937805
137,-46.74011362501485
138,-46.808309925333546
139,-46.86031487937931
140,-46.92802098752391
141,-46.984877537451275
142,-47.04276863237254
143,-47.10225251884918
144,-47.155193179822305
145,-47.20469221845633
146,-47.263332259122556
147,-47.32504647470362
148,-47.39196307433314
149,-47.44052699103836
150,-47.50870408736409
151,-47.549948343553325
152,-47.61365370737034
153,-47.65983479393794
154,-47.714742673899444
155,-47.771462985201026
156,-47.83451009729503
157,-47.884156045111474
158,-47.94204800175376
159,-47.98587394817155
160,-48.042100780316865
161,-48.08911486751538
162,-48.14914080996367
163,-48.193759840574174
164,-48.25420708233488
165,-48.30965299657898
166,-48.360006162130915
167,-48.41243452374966
168,-48.460590054450655
169,-48.509896918833874
170,-48.55348589411501
171,-48.600509261527066
172,-48.642410069327866
173,-48.69491832702302
174,-48.707371750975824
175,-48.74843123125328
176,-48.80608787236339
177,-48.842723451981136
178,-48.888647740672354
179,-48.93180066967865
180,-48.97308364798589
181,-49.013670325728874
182,-49.05815035046716
183,-49.09633067942088
184,-49.14600616084552
185,-49.180783197538844
186,-49.218152858946155
187,-49.25874910677078
188,-49.30189125368141
189,-49.34382836546366
190,-49.387420330566165
191,-49.42768781313695
192,-49.47354287280995
193,-49.51529874784092
194,-49.55472659624021
195,-49.59757028897378
196,-49.63870171286692
197,-49.68446960425741
198,-49.73418196350874
199,-49.77436795510652
200,-49.82409157645488
201,-49.8612440608804
202,-49.907698090285926
203,-49.95102030043718
204,-49.993663831729364
205,-50.0309694760327
206,-50.07503864822899
207,-50.12173520678004
208,-50.1642601596007
209,-50.21372379741648
210,-50.257935762484394
211,-50.29852769727108
212,-50.343301551488665
213,-50.38494536412166
214,-50.42858947230614
215,-50.47677603075638
216,-50.52777719181844
217,-50.57627175193577
218,-50.63156817180218
219,-50.685885373660845
220,-50.727503157659505
221,-50.77557125611622
222,-50.827048440324255
223,-50.8888872139158
224,-50.94640510639251
225,-50.99925807939993
226,-51.061437583272706
227,-51.11779979624822
228,-51.177804455865925
229,-51.23841727873267
230,-51.30212159280823
231,-51.37184098007734
232,-51.44135497740848
233,-51.51646029137145
234,-51.602973866719616
235,-51.69985408054835
236,-51.78959033290406
237,-51.89542831804172
238,-52.01196480447298
239,-52.12577583162689
240,-52.27757936542647
241,-52.486566240601746
242,-52.73458857814536
243,-52.735382393220824
244,-53.08835756387584
245,-57.968752343186935
246,-63.392437656693275
247,-70.70402164836898
248,-83.9540707734383
249,-97.69548912183858
250,-136.05095341015868
251,-210.55575816797622
252,-401.2408980477687
253,-563.9091779734761
