,0
0,-6.288908530191609e-17
1,1.7222278703304284e-17
2,-2.8092704906086097e-18
3,2.272834486501445e-18
4,9.094570058772104e-19
5,1.2514084356757468e-18
6,1.178230734897364e-18
7,9.93266290703934e-19
8,1.340613258775309e-18
9,9.452341349616285e-19
10,1.0978307784792454e-18
11,1.0588846572388655e-18
12,9.094316584742497e-19
13,1.1738813220137967e-18
14,8.500399625947994e-19
15,1.0042584360975724e-18
16,8.166000280706363e-19
17,1.0534721835466344e-18
18,7.932503054795358e-19
19,8.220184201386457e-19
20,8.950685987183136e-19
21,7.920600593629315e-19
22,7.2319083427854975e-19
23,8.285138490308455e-19
24,7.172174973948491e-19
25,6.450683132720133e-19
26,7.9490166665133e-19
27,5.445997615758632e-19
28,7.48357718269602e-19
29,5.08868181782007e-19
30,6.837147259799558e-19
31,4.814023820959752e-19
32,5.970321137921223e-19
33,4.967110752989649e-19
34,4.818396369015114e-19
35,4.788106300214025e-19
36,4.444146252562597e-19
37,4.2850820901294006e-19
38,3.8811008147037705e-19
39,3.7805372715528097e-19
40,3.6910218917703707e-19
41,3.5283893554595357e-19
42,3.4475344413878047e-19
43,2.8524331005056053e-19
44,3.2680394974433147e-19
45,2.742761839775378e-19
46,3.2722562109870846e-19
47,2.7027059141661957e-19
48,2.3150860382382976e-19
49,2.6316482300196532e-19
50,2.2599622118521564e-19
51,2.2049867325280913e-19
52,4.1228623939522694e-19
53,-3.003248916732731e-19
54,3.53519395831318e-19
55,1.7333245417954075e-19
56,2.4660167150634723e-19
57,1.695335546536218e-19
58,1.6932167179473405e-19
59,1.9791332682206163e-19
60,1.797237570215046e-19
61,1.537650476219036e-19
62,2.1461273223465222e-19
63,2.2873657566415982e-20
64,2.462093420090463e-19
65,1.3945780646919998e-19
66,1.3316253804294545e-19
67,1.6232443222985062e-19
68,1.0097697395277043e-19
69,2.2721028887787836e-19
70,-2.5764268498733448e-20
71,2.197877748907918e-19
72,5.964221174747011e-20
73,1.673782046959815e-19
74,1.2891316791710935e-19
75,3.966205212789278e-20
76,3.5746435979219106e-19
77,-3.6406228122836653e-19
78,4.0286905971312826e-19
79,4.288159187630752e-20
80,1.4067705227241651e-19
81,8.089602734477823e-21
82,1.844136883877085e-19
83,4.690417435482053e-20
84,5.063913509975719e-20
85,1.4087277884849289e-19
86,4.717312660892353e-20
87,7.334353154703889e-20
88,2.7646472059069034e-20
89,1.4047639096730012e-19
90,2.2226266715566497e-20
91,1.2267276580766115e-19
92,2.0264740810764356e-20
93,1.0808499154775436e-19
94,3.576251988069246e-20
95,4.5333618057599327e-20
96,1.2885895001939892e-19
97,-4.2279471872470176e-20
98,9.026621129779473e-20
99,4.304910347314316e-20
100,6.242069347545113e-20
101,3.6207228980949703e-20
102,5.577933071083753e-20
103,4.1549775568539326e-20
104,4.699699147252741e-20
105,3.919369192037388e-20
106,4.3409803150753493e-20
107,4.1808870489434085e-20
108,3.8048284078962657e-20
109,4.312252185468925e-20
110,3.1034663408227883e-20
111,5.650742618531302e-20
112,1.2336468438027716e-20
113,4.517052834401964e-20
114,2.8241446971354725e-20
115,5.641745876479755e-20
116,-2.2951202314210685e-20
117,3.476093708964832e-19
118,-3.771596206874252e-19
119,4.115126013458508e-19
120,-7.758305262321024e-20
121,5.0313764108211567e-20
122,2.1483494486796216e-20
123,2.9440001720919556e-20
124,2.629326947668e-20
125,2.632045916208938e-20
126,2.5690037335683892e-20
127,2.482928978578714e-20
128,2.4447609223454367e-20
129,2.3750418813758074e-20
130,2.3152604278394147e-20
131,2.2638200656404975e-20
132,2.1869419735640637e-20
133,2.1397334693347752e-20
134,2.081411072730775e-20
135,2.0377272894642544e-20
136,1.990917672592922e-20
137,1.9486971270958577e-20
138,1.8980108414084116e-20
139,1.8637995542049463e-20
140,1.8127429928910323e-20
141,1.779603462053326e-20
142,1.7374698758190502e-20
143,1.7058154049668546e-20
144,1.6578163952266485e-20
145,1.6786509976722353e-20
146,1.4663864659301254e-20
147,2.0345796232282262e-20
148,-1.2043975748589034e-20
149,8.427641210908019e-20
