,0
0,4.054030618146907e-16
1,3.8802490122812227e-16
2,3.7045452027515893e-16
3,3.533447539767886e-16
4,3.3669411006939166e-16
5,3.205013346591805e-16
6,3.0476493642569633e-16
7,2.89482967199103e-16
8,2.7465323251027363e-16
9,2.602728631187944e-16
10,2.463392508854101e-16
11,2.3284993473032675e-16
12,2.1980173841234276e-16
13,2.0719116728569224e-16
14,1.9501355731177235e-16
15,1.8326644405276752e-16
16,1.7194571603818946e-16
17,1.610471185361531e-16
18,1.5056359866448353e-16
19,1.4049389005935817e-16
20,1.308323499169129e-16
21,1.2157149961818525e-16
22,1.127073851205688e-16
23,1.0423637515377624e-16
24,9.614789602491972e-17
25,8.843903131578262e-17
26,8.11060149753646e-17
27,7.414479217336152e-17
28,6.753517227521833e-17
29,6.126730362612213e-17
30,5.535142240019061e-17
31,4.9784564149268003e-17
32,4.452696830658715e-17
33,3.973736629809442e-17
34,3.5244510366706585e-17
35,3.092883742014702e-17
36,2.7242256325697022e-17
37,2.4004077270350256e-17
38,2.094607523146362e-17
39,1.814992144619935e-17
40,1.5679338895699092e-17
41,1.4170550930058604e-17
42,1.3064637554391978e-17
43,1.1611301595981012e-17
44,1.030195508750803e-17
45,9.119655911299473e-18
46,8.224959419249789e-18
47,7.572773373022702e-18
48,6.849347417869397e-18
49,6.168249637360753e-18
50,5.524457722413876e-18
51,4.992376726225826e-18
52,4.574347045696238e-18
53,4.1745394105112865e-18
54,3.966321461849615e-18
55,3.614378137126307e-18
56,3.2932073069912868e-18
57,3.030414406412875e-18
58,2.735318090355665e-18
59,2.4581072538651438e-18
60,2.2560712680719675e-18
61,2.0692237049588015e-18
62,1.9515289032035584e-18
63,1.8281851525965367e-18
64,1.6999952058967541e-18
65,1.5743424361846797e-18
66,1.4535124141949446e-18
67,1.3384204960546995e-18
68,1.2384199146637507e-18
69,1.1417281962796204e-18
70,1.0549736572993356e-18
71,9.794104031875084e-19
72,9.090498402224457e-19
73,8.407346225213724e-19
74,7.731091331819329e-19
75,7.121585022278923e-19
76,6.484485361633856e-19
77,5.947319577747768e-19
78,5.488221958913946e-19
79,5.094923611974234e-19
80,4.707324045535107e-19
81,4.363091272815087e-19
82,4.001965850663549e-19
83,3.682559536952272e-19
84,3.3746981091826834e-19
85,3.1044678229440353e-19
86,2.84475660908305e-19
87,2.6026652088086833e-19
88,2.376365026733815e-19
89,2.2000549692923037e-19
90,2.0415292785287473e-19
91,1.8564422962567125e-19
92,1.724321262529962e-19
93,1.5648365163809394e-19
94,1.4399518813482758e-19
95,1.3198403422269766e-19
96,1.1990990321881388e-19
97,1.1027422577683176e-19
98,1.0162277886706185e-19
99,9.265331235859399e-20
100,8.403615243963076e-20
101,7.791752129845463e-20
102,7.139931043896007e-20
103,6.55826462195123e-20
104,6.119810789986132e-20
105,5.537340402769146e-20
106,5.090205415802945e-20
107,4.6640403084131034e-20
108,4.269338949857733e-20
109,3.904054876032768e-20
110,3.648961548659967e-20
111,3.360977408804576e-20
112,3.104127454110939e-20
113,2.8506627127491747e-20
114,2.615157187039698e-20
