t(s), a, T (MeV), Tnu (MeV), photons, baryons, rho_{nu}, drho_{nu}, phi (GeV^4), rho_vs(GeV^4), sigma_rad (GeV^4), Y(n), Y(p), Y(2H), Y(3H), Y(3He), Y(4He), Y(6Li), Y(7Li), Y(7Be), eta
1.00038e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,6.37039e-25,5.73205e-27,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
2.00038e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,9.55558e-25,1.52286e-26,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
2.70118e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,7.96300e-25,2.18356e-26,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
3.42183e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,5.52902e-25,2.71908e-26,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
4.45624e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,4.80672e-25,3.36072e-26,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
6.00784e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,6.21959e-25,4.40768e-26,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
8.33525e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,7.46775e-25,6.21877e-26,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
1.17617e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,7.03008e-25,8.85025e-26,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
1.69014e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,5.87723e-25,1.22261e-25,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
2.46109e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,2.35010e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,4.97463e-13,5.62905e-25,1.66201e-25,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,8.22322e-10
