t(s), a, T (MeV), Tnu (MeV), photons, baryons, rho_{nu}, drho_{nu}, phi (GeV^4), rho_vs(GeV^4), sigma_rad (GeV^4), Y(n), Y(p), Y(2H), Y(3H), Y(3He), Y(4He), Y(6Li), Y(7Li), Y(7Be), eta
1.00038e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,7.07821e-24,2.08562e-25,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
2.00038e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,1.06173e-23,5.50898e-25,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
2.67530e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,8.84778e-24,7.76227e-25,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
3.34622e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,6.20395e-24,9.48588e-25,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
4.28618e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,5.40152e-24,1.14439e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
5.69612e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,6.89557e-24,1.45733e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
7.81103e-10,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,8.24442e-24,1.98701e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
1.09834e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,7.79831e-24,2.73226e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
1.57419e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,6.56362e-24,3.59134e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
2.28797e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,6.28085e-24,4.54579e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
3.35865e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,7.06549e-24,5.74535e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
4.96465e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,7.66988e-24,7.19225e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
7.37366e-09,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,7.38360e-24,8.39102e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
1.09872e-08,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,6.78717e-24,8.78477e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
1.64075e-08,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,6.70366e-24,8.65528e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
2.45379e-08,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83368e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,7.10923e-24,8.79577e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
3.67335e-08,8.00000e-11,2.32668e+00,2.32668e+00,1.92821e-11,7.83367e-18,5.13916e-11,8.83519e-08,0.00000e+00,0.00000e+00,0.00000e+00,3.64497e-01,6.35503e-01,1.65821e-12,7.37465e-24,9.16329e-24,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74107e-09
