,0
0,0.0
1,1.3168872409070504e-17
2,9.535618351440058e-18
3,1.038494274433706e-17
4,1.003450556545218e-17
5,1.0003120073247442e-17
6,9.884557438840339e-18
7,9.791182957888203e-18
8,9.682409032957825e-18
9,9.584031983150181e-18
10,9.477365807087836e-18
11,9.371891143110417e-18
12,9.266009728740771e-18
13,9.154731326426988e-18
14,9.047537072016087e-18
15,8.934794250355491e-18
16,8.824236959996223e-18
17,8.706692044958455e-18
18,8.592997422610286e-18
19,8.477437768408977e-18
20,8.353100119159733e-18
21,8.23618170470137e-18
22,8.114583562506367e-18
23,7.984317409238724e-18
24,7.86200525434316e-18
25,7.732855188148232e-18
26,7.597906981842431e-18
27,7.469622845595392e-18
28,7.325551568008585e-18
29,7.193295519481917e-18
30,7.043656815789606e-18
31,6.902444044954e-18
32,6.753701743315047e-18
33,6.602621158530444e-18
34,6.445732958196185e-18
35,6.293782085363575e-18
36,6.147250139539238e-18
37,5.992708845891164e-18
38,5.8370700387992804e-18
39,5.681272218574133e-18
40,5.5718475093234644e-18
41,5.4941397562883286e-18
42,5.369287200253688e-18
43,5.2548918860892546e-18
44,5.132942975090279e-18
45,5.034944535036889e-18
46,4.952656033557904e-18
47,4.857109847049271e-18
48,4.760264516648451e-18
49,4.6554619774947695e-18
50,4.56039345210103e-18
51,4.481596045707905e-18
52,4.373009532257811e-18
53,4.357774703863262e-18
54,4.251615921051636e-18
55,4.165488901266582e-18
56,4.081590277622144e-18
57,3.982674464621059e-18
58,3.8759071904707136e-18
59,3.790032144088353e-18
60,3.692654887419764e-18
61,3.6439905610197585e-18
62,3.5671913362364844e-18
63,3.494864298854448e-18
64,3.4076349723067646e-18
65,3.3202305587976644e-18
66,3.2282731620479263e-18
67,3.1392724327234594e-18
68,3.048430243244219e-18
69,2.947622087546623e-18
70,2.8737179646639495e-18
71,2.7780300115568636e-18
72,2.6868893414723333e-18
73,2.5838686952188267e-18
74,2.484864946730073e-18
75,2.3708506681494338e-18
76,2.2684679384466516e-18
77,2.165128997913361e-18
78,2.0838922827041537e-18
79,1.985554546446482e-18
80,1.895809624696216e-18
81,1.7961473966288317e-18
82,1.6988041196591931e-18
83,1.6011491638389571e-18
84,1.5095803508320045e-18
85,1.4152759218943171e-18
86,1.3214010296714405e-18
