,0
0,0.0
1,2.3030393831303208e-17
2,1.6407198349762502e-17
3,1.7487965936900017e-17
4,1.6588295223321854e-17
5,1.6220291894029866e-17
6,1.5710674893156703e-17
7,1.5224548774006595e-17
8,1.4812317284396037e-17
9,1.4244617633360007e-17
10,1.3842887380324329e-17
11,1.336911889974513e-17
12,1.2906414805059047e-17
13,1.250616906251286e-17
14,1.1978160908710382e-17
15,1.159466220537178e-17
16,1.1132901984824436e-17
17,1.0754761641452204e-17
18,1.0255521120214904e-17
19,9.877570273082266e-18
20,9.47924198948616e-18
21,9.038211601361473e-18
22,8.641859330993567e-18
23,8.27594709048459e-18
24,7.847642922725309e-18
25,7.470708354916971e-18
26,7.127927187893782e-18
27,6.6935254531619435e-18
28,6.393614623979246e-18
29,5.9670273863897604e-18
30,5.6741128086718804e-18
31,5.267750416963067e-18
32,4.976436637946727e-18
33,4.6129060693795606e-18
34,4.3038879488278276e-18
35,3.985178344269438e-18
36,3.6854358186379395e-18
37,3.415601237056749e-18
38,3.142979397434828e-18
39,2.8913049212374783e-18
40,2.6481579238157057e-18
41,2.4885445621807033e-18
42,2.3671735249423287e-18
43,2.200487484957628e-18
44,2.064234880808801e-18
45,1.9081460713360212e-18
46,1.8003289517098274e-18
47,1.698506694179357e-18
48,1.5989894614193009e-18
49,1.512571577610999e-18
50,1.4105404243126056e-18
51,1.3324237253561012e-18
52,1.2673611977924834e-18
53,1.1410803523778853e-18
54,1.1939392747725782e-18
55,1.087574137864433e-18
56,1.0373485246181603e-18
57,9.735058848469927e-19
58,9.21520917271729e-19
59,8.686135121594177e-19
60,8.188714616951862e-19
61,7.758588013336413e-19
62,7.490591490372223e-19
63,7.107123647061045e-19
64,7.082239810744768e-19
65,6.563289630745877e-19
66,6.272668851073979e-19
67,5.991886624947313e-19
68,5.669443608159376e-19
69,5.469067779475746e-19
70,5.024062149427231e-19
71,5.079736536687879e-19
72,4.684475534991022e-19
73,4.587021147207752e-19
74,4.254531465618917e-19
75,4.0277888984090627e-19
76,3.913985397022257e-19
77,3.3812798613554615e-19
78,3.7801361758081352e-19
79,3.3042504879490965e-19
80,3.1955457001698677e-19
81,2.988263971397929e-19
82,2.9876288088290283e-19
83,2.675373573070097e-19
84,2.605809456339477e-19
85,2.5344147824948716e-19
86,2.297994102983053e-19
87,2.2358533727670023e-19
88,2.112411823906089e-19
89,2.0879523722938833e-19
90,1.9002457092455024e-19
91,1.8764490054516432e-19
92,1.721839488126033e-19
93,1.701142312671347e-19
94,1.554388921952443e-19
95,1.512977706513514e-19
96,1.451090229393181e-19
97,1.2860025664489752e-19
98,1.3477700928496513e-19
99,1.2269751880235867e-19
100,1.172171098887767e-19
101,1.1080622823231203e-19
102,1.0697795405773985e-19
103,1.0082265506734282e-19
104,9.732760014989996e-20
105,9.156285884449865e-20
106,8.771950593041199e-20
107,8.327318347995012e-20
108,7.903880389389718e-20
109,7.526944412039616e-20
110,7.201675549077228e-20
111,6.935966319370081e-20
112,6.438663092560348e-20
113,6.357933171776299e-20
114,5.952743506774997e-20
115,5.706212235083654e-20
116,5.3628297417998936e-20
117,5.397280820721128e-20
118,3.883077886826642e-20
119,5.852462963940285e-20
120,4.1730881953361026e-20
121,4.4068568115762143e-20
122,4.095601528079167e-20
123,3.9445250711154873e-20
124,3.761974456874288e-20
125,3.594974002083939e-20
126,3.4397176858835747e-20
127,3.30738367858414e-20
128,3.152851073415279e-20
129,3.042314753295576e-20
130,2.892838636959382e-20
131,2.7917190389250147e-20
132,2.6510544805801967e-20
133,2.5304462348261013e-20
134,2.4281145049221913e-20
135,2.331415665677267e-20
136,2.2477874165714456e-20
137,2.1725832894166534e-20
138,2.082427546260326e-20
139,2.0165713976158405e-20
140,1.933567134301107e-20
141,1.8669489515464568e-20
142,1.8013087881007403e-20
143,1.736487894154368e-20
144,1.6807430258944227e-20
145,1.630561130501804e-20
146,1.5721099521127615e-20
147,1.5163250940154458e-20
148,1.445774194334941e-20
149,1.4441645331207674e-20
150,1.2429200844960322e-20
151,1.8477946200152682e-20
152,-4.207001593731946e-21
153,3.126289188606417e-20
154,6.905507567810777e-21
155,1.2810095886546478e-20
156,1.0698727044447735e-20
157,1.085394584153873e-20
158,1.0357857741777701e-20
159,1.012326926924095e-20
160,9.7770752127026e-21
161,9.506541801175565e-21
162,9.16864436277818e-21
163,8.92611815294066e-21
164,8.60741654049336e-21
165,8.32569035959186e-21
166,8.077767212225813e-21
167,7.827616406174719e-21
168,7.604781342575929e-21
169,7.383274698712772e-21
170,7.192864341823084e-21
171,6.993048478993888e-21
172,6.819489227577564e-21
173,6.608698078287596e-21
174,6.556622891086771e-21
175,6.400901853427544e-21
176,6.182549894310714e-21
177,6.048833758336934e-21
178,5.883774116070451e-21
179,5.735405109897548e-21
180,5.586844459789974e-21
181,5.481598071505851e-21
182,5.226839633072836e-21
183,5.533488756296202e-21
184,3.872615492806831e-21
185,1.0051898256483517e-20
186,-1.4120527511384132e-20
187,2.3683320966422376e-20
188,-5.948053833798186e-22
189,5.832753856809172e-21
190,3.96777820622566e-21
191,4.341728058093333e-21
192,4.103446799494272e-21
193,4.036539217733521e-21
194,3.933487079635842e-21
195,3.836693683171588e-21
196,3.74309695595544e-21
197,3.642483124636507e-21
198,3.536046891050939e-21
199,3.45261846492737e-21
200,3.350825623027533e-21
201,3.28138525284714e-21
202,3.177625974429449e-21
203,3.1495404799044047e-21
204,2.8694843128946526e-21
205,3.601805481006249e-21
206,2.3622670353220778e-21
207,2.903403271494346e-21
208,2.7013007066652615e-21
209,2.6607256524799436e-21
210,2.577962445452348e-21
211,2.533653066704775e-21
212,2.409419868586675e-21
213,2.5584503219329647e-21
214,1.7037716248515407e-21
215,4.453350077317569e-21
216,-6.015606123813697e-21
217,1.0760352406594747e-20
218,-3.1125244057551016e-22
219,2.7003561180191447e-21
220,1.762703880838385e-21
221,1.9322972650630178e-21
222,1.8178730719945825e-21
223,1.766458527045486e-21
224,1.703148809227414e-21
225,1.6515348398755782e-21
226,1.5912159025238446e-21
227,1.539001387141415e-21
228,1.4840778153586062e-21
229,1.4342358962843773e-21
230,1.3695062990840052e-21
231,1.3521987064659728e-21
232,1.148808462516279e-21
233,1.6270986528587716e-21
234,-3.8336085141341463e-22
235,2.8417875330761833e-21
236,5.807465617534478e-22
237,1.0712859922045412e-21
238,8.671011397595845e-22
239,8.287013829824566e-22
240,8.08472143265205e-22
241,5.130782277921518e-22
242,9.17399420853559e-22
243,6.022428811417471e-22
244,3.976364916977195e-22
245,-1.9853468614404692e-23
246,1.0679119071251362e-23
247,-3.470180820366311e-24
248,1.1905613587599273e-24
249,-4.213781427850944e-25
250,1.4927046651379607e-25
251,-5.286662355696942e-26
252,1.8658808314224505e-26
253,-6.219602771408162e-27
