,0
0,1.4591543285465142e-16
1,1.4279368134589112e-16
2,1.3718868934534603e-16
3,1.3231507786022034e-16
4,1.2735878900798033e-16
5,1.2253100022917004e-16
6,1.1777668363610443e-16
7,1.1311506061967662e-16
8,1.0853382266155736e-16
9,1.0404636800533178e-16
10,9.965374517196627e-17
11,9.534371256182491e-17
12,9.112740750327539e-17
13,8.699544967734636e-17
14,8.295923460669727e-17
15,7.901924724213203e-17
16,7.516667773576341e-17
17,7.140258066040669e-17
18,6.773383542539536e-17
19,6.416441115364261e-17
20,6.067878642243546e-17
21,5.72887048130226e-17
22,5.399682017800619e-17
23,5.079257169081872e-17
24,4.7681745832194057e-17
25,4.46700245514742e-17
26,4.1744509881807704e-17
27,3.891895199529253e-17
28,3.6182331425738867e-17
29,3.353289767156559e-17
30,3.097921828610962e-17
31,2.85207969646488e-17
32,2.61455972817552e-17
33,2.3924753518047644e-17
34,2.179350308507949e-17
35,1.9685764793411544e-17
36,1.783421018750595e-17
37,1.6163945141332516e-17
38,1.4541767979200796e-17
39,1.3011773669180526e-17
40,1.1614346529037518e-17
41,1.0737881617703373e-17
42,1.0083120241071808e-17
43,9.2048941474482e-18
44,8.39074346733617e-18
45,7.634328642270197e-18
46,7.047799296059845e-18
47,6.612081970622166e-18
48,6.120870372475004e-18
49,5.6462249342642895e-18
50,5.1856917250019415e-18
51,4.795855824088325e-18
52,4.481939757762941e-18
53,4.181928586497053e-18
54,4.021549104298013e-18
55,3.7406520958388416e-18
56,3.482420368897467e-18
57,3.2672022832776804e-18
58,3.0212393927569566e-18
59,2.783349845727906e-18
60,2.6061895113183484e-18
61,2.439863007083581e-18
62,2.3334051555204305e-18
63,2.2208480502575134e-18
64,2.1007311108193993e-18
65,1.980237212448565e-18
66,1.863699955084613e-18
67,1.7502814881224534e-18
68,1.6500889175060807e-18
69,1.551246415623995e-18
70,1.4618523340888962e-18
71,1.3820570785213906e-18
72,1.305668390890121e-18
73,1.2306054805943555e-18
74,1.1547508697728125e-18
75,1.0860535296822849e-18
76,1.0118570442846238e-18
77,9.50580361504898e-19
78,8.950987434331237e-19
79,8.444774219139306e-19
80,7.962203420460022e-19
81,7.525048900236116e-19
82,7.052875714330881e-19
83,6.627363770509648e-19
84,6.215838437019352e-19
85,5.839976118025868e-19
86,5.474398802053184e-19
87,5.130261752229724e-19
88,4.798494574315462e-19
89,4.531226583706408e-19
90,4.287822604321032e-19
91,3.998951777753133e-19
92,3.788155096738168e-19
93,3.5284696529726444e-19
94,3.320004520316033e-19
95,3.116983199215302e-19
96,2.904947330561809e-19
97,2.7356995860644655e-19
98,2.5795959971884413e-19
99,2.4101535922841164e-19
100,2.2454614369107327e-19
101,2.1259291072698803e-19
102,1.9958096946784518e-19
103,1.8767818430925464e-19
104,1.785449273627416e-19
105,1.6613257163815877e-19
106,1.5636249770735696e-19
107,1.4681937841010326e-19
108,1.3777954889023355e-19
109,1.292058483020951e-19
110,1.2309477585423524e-19
111,1.1604134747951446e-19
112,1.0965452989478117e-19
113,1.0319432771376833e-19
114,9.699317443471671e-20
115,9.132667489260152e-20
116,8.687908236191527e-20
117,8.121296138197508e-20
118,7.781349955560252e-20
119,7.290666716191149e-20
120,6.917137800333767e-20
121,6.624067261772503e-20
122,6.250284340239607e-20
123,5.93521219481789e-20
124,5.633089623763733e-20
125,5.3424784510853465e-20
126,5.080465975615779e-20
127,4.859267575789329e-20
128,4.6032127980677467e-20
129,4.4130502447515217e-20
130,4.1820518534132603e-20
131,4.0120320148071185e-20
132,3.7882442218871634e-20
133,3.5952789157849265e-20
134,3.43413997550605e-20
135,3.282157072935721e-20
136,3.1519003376708726e-20
137,3.0350615379982243e-20
138,2.8960909045960034e-20
139,2.794613719101899e-20
140,2.6680592557552834e-20
141,2.5664408839778824e-20
142,2.467142845192169e-20
143,2.3693115408530484e-20
144,2.2856749508772853e-20
145,2.2102789062962525e-20
146,2.1243573394945274e-20
147,2.0376399799916835e-20
148,1.9481464327934635e-20
149,1.8847617634952912e-20
150,1.804170384163343e-20
151,1.7434288140446123e-20
152,1.7204177256171924e-20
153,1.6651002444682137e-20
154,1.556437955362834e-20
155,1.512226078323333e-20
156,1.4467798624924176e-20
157,1.4009375862913542e-20
158,1.3481763122700707e-20
159,1.3098671097813471e-20
160,1.2623023469629206e-20
161,1.223950026344657e-20
162,1.1767563922912785e-20
163,1.1429257848066929e-20
164,1.0987241741825856e-20
165,1.0597685394450296e-20
166,1.0256564589104425e-20
