,0
0,1.360867265960735e-16
1,1.3312426817646423e-16
2,1.278069676057694e-16
3,1.2318673293866978e-16
4,1.1849047935149361e-16
5,1.1391835397542227e-16
6,1.0941812835741587e-16
7,1.0500820288547923e-16
8,1.0067650831206915e-16
9,9.643621371435854e-17
10,9.228835507960045e-17
11,8.822075578725156e-17
12,8.424436060782286e-17
13,8.034984924729254e-17
14,7.654850200027329e-17
15,7.284073970893222e-17
16,6.921776738736923e-17
17,6.568057244827044e-17
18,6.223600393197668e-17
19,5.888787066216173e-17
20,5.562081317989136e-17
21,5.244635473259111e-17
22,4.936712393096546e-17
23,4.637269094751459e-17
24,4.346862255435795e-17
25,4.066057397312077e-17
26,3.793573642375148e-17
27,3.5307496476512647e-17
28,3.27653459989478e-17
29,3.030756747003744e-17
30,2.794219951291377e-17
31,2.5668636895350308e-17
32,2.347581201913535e-17
33,2.142901164388916e-17
34,1.946880610372975e-17
35,1.7533985113047236e-17
36,1.583813408317342e-17
37,1.4311817635682675e-17
38,1.2832985483161916e-17
39,1.144172332983286e-17
40,1.0174386097256058e-17
41,9.381430059286049e-18
42,8.790239517152064e-18
43,7.999000141272912e-18
44,7.267069516562639e-18
45,6.588716625265271e-18
46,6.064041539098172e-18
47,5.675151905097072e-18
48,5.237789249206612e-18
49,4.816039335963629e-18
50,4.40778219624345e-18
51,4.0630601291390484e-18
52,3.7860590341186465e-18
53,3.522385735180487e-18
54,3.3815624962845017e-18
55,3.1349789776873167e-18
56,2.9090831531882995e-18
57,2.721307610928833e-18
58,2.5073223868222195e-18
59,2.3008163996248398e-18
60,2.147477519104543e-18
61,2.0038790826099963e-18
62,1.9122061380552524e-18
63,1.81558342649748e-18
64,1.7124690403224923e-18
65,1.6091908784997025e-18
66,1.50971082218153e-18
67,1.4130977647621438e-18
68,1.3279874122988481e-18
69,1.2442299380408258e-18
70,1.168743880199213e-18
71,1.1014878048746711e-18
72,1.0372157694002012e-18
73,9.742308708992242e-19
74,9.107647526228253e-19
75,8.5352211588941585e-19
76,7.920150868521138e-19
77,7.408433194989863e-19
78,6.950769228857769e-19
79,6.537339714040262e-19
80,6.139812146613199e-19
81,5.782605607852275e-19
82,5.396520057299689e-19
83,5.050012324212052e-19
84,4.717032176909474e-19
85,4.41269477814672e-19
86,4.118300653239395e-19
87,3.842504625226005e-19
88,3.577170554365316e-19
89,3.3637669169642095e-19
90,3.170153949084085e-19
91,2.9413826821708366e-19
92,2.7749804154369093e-19
93,2.5707208031546475e-19
